spec,weighting,target,intercept,log_n_active,year_c,weight_c,log_playtime_c,min_players_c,log_max_players_c,is_reimpl_num,log_n_impl_c,ns_year_0
Q3b_flex_volume_ns,gls_eff,adj,-9.713182893305149,,,0.47268066368324585,0.028416186252078698,0.018955457957324135,-0.08264550200362174,0.034012172857057765,0.04179914432733483,0.008806390405428714
Q4_mechanics_ns,ols,adj,-12.420142448881187,0.447237996019696,,0.43889997118208285,0.032548654396564375,0.027160937339375094,-0.07775060775194231,0.023658420129035747,0.03368496706931989,0.008821504439291356
Q4_mechanics_ns,wls_n,adj,-25.94906707851834,0.46718396593067857,,0.40925529476500233,0.021535079568196586,0.04584014681163834,-0.11179654036752323,0.1137604910587483,-0.07141316138460535,0.01563701309436162
Q3,ols,raw,5.663352089677318,0.35891990843308835,0.024469033327240583,0.4053474951878685,0.05268500909071042,-0.07373365689125166,-0.08934814840469506,0.07422724865260041,0.10078241374088202,
Q3,wls_n,raw,5.514933922784467,0.42434304411628854,0.024193507516930522,0.3509177070953564,0.03478288735044567,-0.016407632612091015,-0.10907054295930811,0.1593727254571336,0.0019717302459701463,
Q3b,ols,raw,-3.2015414828326185,,,0.40252597761917547,0.04336037483198419,-0.019773736925031257,-0.0793596704934277,0.043599764932919255,0.04769451645431213,0.004978232004075226
Q3b,wls_n,raw,-22.89641443722193,,,0.35103604716276526,0.02235269500770824,0.017074516138723374,-0.13056130158677723,0.12159622344185331,0.005296059261799066,0.016155902370023505
Q4,ols,raw,-5.004144569212723,,,0.38024649002064254,0.04223916295014518,-0.005647735893585193,-0.0739338536966449,0.042799600516909786,0.05289725998417527,0.006002902442889424
Q4,wls_n,raw,-22.045445192698704,,,0.34685739669977467,0.024770059852495807,0.03006975157343028,-0.13343320215217025,0.12718524994263447,-0.003606527755010802,0.01569656331272344
Q0,ols,raw,5.57330816445004,0.42458003691902185,0.021748142280498216,,,,,,,
Q0,wls_n,raw,5.428904803907644,0.4786906158366897,0.027898775193054615,,,,,,,
