a,b,pearson,spearman,jaccard_top1,jaccard_top5,jaccard_top10
Q0|ols|adj,Q0|wls_n|adj,0.9937313194899677,0.9932615386511892,0.6878612716763006,0.7623049219687875,0.8501259445843828
Q0|ols|adj,Q1_core_ns|gls_eff|adj,0.7563609859763776,0.6897652477924671,0.140625,0.2579263067694944,0.32881049298959747
Q0|ols|adj,Q1_core_ns|ols|adj,0.7559646246342573,0.6893051188763077,0.140625,0.2568493150684932,0.3282097649186257
Q0|ols|adj,Q1_core_ns|wls_n|adj,0.8509227928963543,0.8043261602737103,0.2217573221757322,0.36178107606679033,0.43037974683544306
Q0|ols|adj,Q1|ols|adj,0.7938554276569688,0.7426987949325861,0.13618677042801555,0.2461799660441426,0.33849658314350795
Q0|ols|adj,Q1|wls_n|adj,0.8784229208319977,0.8462116542310033,0.19672131147540983,0.3592592592592593,0.44090240313879353
Q0|ols|adj,Q2_structure_ns|ols|adj,0.7500579303040775,0.6836638350253795,0.13618677042801555,0.2356902356902357,0.3110218652387327
Q0|ols|adj,Q2_structure_ns|wls_n|adj,0.8414809721541827,0.7942788994633999,0.2066115702479339,0.3406392694063927,0.41932367149758454
Q0|ols|adj,Q2|ols|adj,0.7854744687297726,0.7331525451937788,0.13178294573643412,0.22742474916387959,0.3204494382022472
Q0|ols|adj,Q2|wls_n|adj,0.8739482743606518,0.8419580002348693,0.18699186991869918,0.3567467652495379,0.4345703125
Q0|ols|adj,Q3_categories_ns|gls_eff|adj,0.723320234306835,0.6592815272420388,0.13618677042801555,0.20922570016474465,0.2652885443583118
Q0|ols|adj,Q3_categories_ns|ols|adj,0.7230170867977023,0.6589288845221933,0.13618677042801555,0.20922570016474465,0.2652885443583118
Q0|ols|adj,Q3_categories_ns|wls_n|adj,0.8035544638909302,0.7522633878471533,0.18218623481781376,0.28771929824561404,0.3532934131736527
Q0|ols|adj,Q3b_6band|ols|adj,0.7188758453380026,0.6538875883278891,0.13618677042801555,0.20032706459525756,0.26583369237397675
Q0|ols|adj,Q3b_6band|wls_n|adj,0.807636560774613,0.7571316928652541,0.18218623481781376,0.28771929824561404,0.36081519221861974
Q0|ols|adj,Q3b_flex_volume_ns|gls_eff|adj,0.7203359718994584,0.6554122662626617,0.13618677042801555,0.20327868852459016,0.2669253988788271
Q0|ols|adj,Q3b_flex_volume_ns|ols|adj,0.7200310179171616,0.6550559200704658,0.13618677042801555,0.20327868852459016,0.2669253988788271
Q0|ols|adj,Q3b_flex_volume_ns|wls_n|adj,0.8034638845581428,0.7522279726905683,0.1774193548387097,0.28659070990359337,0.3582986592695331
Q0|ols|adj,Q3b|gls_eff|adj,0.7203359718994584,0.6554122662626617,0.13618677042801555,0.20327868852459016,0.2669253988788271
Q0|ols|adj,Q3b|ols|adj,0.7200310179171616,0.6550559200704658,0.13618677042801555,0.20327868852459016,0.2669253988788271
Q0|ols|adj,Q3b|wls_n|adj,0.8034638845581428,0.7522279726905683,0.1774193548387097,0.28659070990359337,0.3582986592695331
Q0|ols|adj,Q3|gls_eff|adj,0.7610719779676703,0.7101871857344604,0.13178294573643412,0.21022258862324814,0.2807323452484743
Q0|ols|adj,Q3|ols|adj,0.7608188809005659,0.7098898656120005,0.13178294573643412,0.20922570016474465,0.28017429193899784
Q0|ols|adj,Q3|wls_n|adj,0.8358500683345867,0.7993851654946889,0.16334661354581673,0.2787456445993031,0.36778398510242083
Q0|ols|adj,Q4_mechanics_ns|ols|adj,0.708704596075888,0.648915484856554,0.12307692307692308,0.19543973941368079,0.2582441113490364
Q0|ols|adj,Q4_mechanics_ns|wls_n|adj,0.7840540984731421,0.7328794740138901,0.16334661354581673,0.26442721791559,0.32223222322232226
Q0|ols|adj,Q4|gls_eff|adj,0.70590765816873,0.645293702063027,0.12307692307692308,0.18866396761133603,0.2512776831345826
Q0|ols|adj,Q4|ols|adj,0.7056389288936388,0.6449787399078324,0.12307692307692308,0.18866396761133603,0.25074499787143467
Q0|ols|adj,Q4|wls_n|adj,0.7840273849189894,0.7330603824139631,0.1774193548387097,0.26442721791559,0.3216374269005848
Q0|wls_n|adj,Q1_core_ns|gls_eff|adj,0.7516203826463979,0.6893335427196277,0.13178294573643412,0.23986486486486486,0.313953488372093
Q0|wls_n|adj,Q1_core_ns|ols|adj,0.7512257239254183,0.6888801255574749,0.13178294573643412,0.23881856540084387,0.3133661153330353
Q0|wls_n|adj,Q1_core_ns|wls_n|adj,0.8525131415022731,0.8089363620589896,0.21666666666666667,0.3694029850746269,0.42829363150218763
Q0|wls_n|adj,Q1|ols|adj,0.7888790016098342,0.7379221269844228,0.14960629921259844,0.24196277495769883,0.3318223028105168
Q0|wls_n|adj,Q1|wls_n|adj,0.8773405118214582,0.8452770317987888,0.2320675105485232,0.3655813953488372,0.44090240313879353
Q0|wls_n|adj,Q2_structure_ns|ols|adj,0.7453560567751858,0.6833534180248209,0.1274131274131274,0.22231473771856786,0.2982766239505082
Q0|wls_n|adj,Q2_structure_ns|wls_n|adj,0.8405543246457505,0.7960534511648448,0.21161825726141079,0.3406392694063927,0.4186383389666828
Q0|wls_n|adj,Q2|ols|adj,0.7805505802365202,0.7286963784397814,0.14960629921259844,0.23154362416107382,0.3163082437275986
Q0|wls_n|adj,Q2|wls_n|adj,0.8710306678600622,0.838969596341059,0.21666666666666667,0.36051899907321594,0.43037974683544306
Q0|wls_n|adj,Q3_categories_ns|gls_eff|adj,0.7187852653650332,0.6604342854077055,0.13618677042801555,0.19934640522875818,0.2614856161442679
Q0|wls_n|adj,Q3_categories_ns|ols|adj,0.7184847236776459,0.6600914151531663,0.13618677042801555,0.1983673469387755,0.2614856161442679
Q0|wls_n|adj,Q3_categories_ns|wls_n|adj,0.8012560399151687,0.7530974747466223,0.1774193548387097,0.28884986830553117,0.3495636196600827
Q0|wls_n|adj,Q3b_6band|ols|adj,0.7147219048895187,0.6554517471939262,0.13618677042801555,0.19349593495934958,0.25932276039434204
Q0|wls_n|adj,Q3b_6band|wls_n|adj,0.8081163502309754,0.760020885164576,0.19183673469387755,0.2968197879858657,0.3614457831325301
Q0|wls_n|adj,Q3b_flex_volume_ns|gls_eff|adj,0.7160711615113368,0.6568266500994929,0.13618677042801555,0.19543973941368079,0.2614856161442679
