game_id,title,primary_type,exposure_band,share_band,n_band,mean_adj_band,mean_p_band,adj_diff_vs_global
302413,Steamwatchers,Other,ALL,1.0,360,7.487483006478112,0.6794298136116675,0.0
302417,Mia London and the Case of the 625 Scoundrels,Other,ALL,1.0,158,6.620607831978667,0.6147071977442289,0.0
302425,Unlock!: Mythic Adventures,Coop,0-4,0.0091638029782359,15,,,
302425,Unlock!: Mythic Adventures,Coop,5-19,0.1019473081328751,177,,,
302425,Unlock!: Mythic Adventures,Coop,ge20,0.8888888888888888,1552,,,
302461,Intrepid,Coop,0-4,0.0304054054054054,17,,,
302461,Intrepid,Coop,5-19,0.1570945945945946,93,,,
302461,Intrepid,Coop,ge20,0.8125,481,,,
302469,Ausonia,Other,ALL,1.0,574,7.798243528351381,0.6560701973421789,0.0
302477,Kittin,Other,ALL,1.0,451,6.290023615157983,0.5006227766042982,0.0
302510,Mining Colony,Other,ALL,1.0,442,7.248206943635408,0.7405649284133524,0.0
302520,Hues and Cues,Party,0-4,0.1324220418624519,619,,,
302520,Hues and Cues,Party,5-19,0.3900042716787698,1826,,,
302520,Hues and Cues,Party,ge20,0.4775736864587783,2236,,,
302524,Super-Skill Pinball: 4-Cade,Other,ALL,1.0,3200,7.362125567340571,0.6928039090407485,0.0
302723,Forgotten Waters,Other,ALL,1.0,6281,8.079403525138996,0.595393818379834,0.0
302734,Master Word,Party,0-4,0.0465367965367965,42,,,
302734,Master Word,Party,5-19,0.198051948051948,182,,,
302734,Master Word,Party,ge20,0.7554112554112554,698,,,
302755,Stop the Train!,Other,ALL,1.0,220,6.937985520196192,0.6350762959230398,0.0
302809,Betrayal at Mystery Mansion,Other,ALL,1.0,1037,6.698620831172722,0.5592575114736404,0.0
302840,Carcata,Other,ALL,1.0,222,6.414762187359221,0.5527665058492719,0.0
302876,Sound Box,Party,0-4,0.0371900826446281,9,,,
302876,Sound Box,Party,5-19,0.1942148760330578,46,,,
302876,Sound Box,Party,ge20,0.768595041322314,186,,,
302911,Mein Königreich für ein Pferd,Other,ALL,1.0,116,6.602382890893784,0.7016522334497618,0.0
302914,Dream Cruise,Other,ALL,1.0,139,6.938315440634108,0.6541862278333249,0.0
302917,King of 12,Other,ALL,1.0,1390,6.9011741761026855,0.5871386139513248,0.0
302926,Silver Coin,Other,ALL,1.0,367,7.685376237476958,0.6375943923606876,0.0
302933,Kodama Forest,Other,ALL,1.0,207,6.907823753710768,0.6044285923920858,0.0
302965,Akros,Other,ALL,1.0,146,7.179637362717679,0.5832586569980538,0.0
