base_title,game_id,title,year,weight,resid_Q3bFam,in_pruned
illuminati,859,Illuminati,1982,2.48,-0.34,False
illuminati,28,Illuminati,1987,2.65,-0.264,False
cornerstone,86415,Cornerstone Essential,2010,1.67,0.507,False
cornerstone,38429,Cornerstone,2008,1.68,1.127,False
lignum,222407,Lignum (Second Edition),2017,4.1,0.346,False
lignum,174155,Lignum,2015,3.81,0.217,False
alien vs predator: the hunt begins,149896,Alien vs Predator: The Hunt Begins,2015,3.48,-0.734,False
alien vs predator: the hunt begins,226009,Alien vs Predator: The Hunt Begins (Second Edition),2017,3.56,-0.156,False
camel up,153938,Camel Up,2014,1.5,0.001,False
camel up,260605,Camel Up (Second Edition),2018,1.51,0.374,False
flash duel:,184145,Flash Duel: Revised Second Edition,2015,1.67,1.215,False
flash duel:,107190,Flash Duel: Second Edition,2011,1.61,0.666,False
tiny epic defenders,238656,Tiny Epic Defenders (Second Edition),2018,2.05,-0.128,False
tiny epic defenders,155708,Tiny Epic Defenders,2015,1.82,-0.649,False
tsukuyumi: full moon down,299450,Tsukuyumi: Full Moon Down (Second Edition),2020,3.66,0.054,False
tsukuyumi: full moon down,185538,Tsukuyumi: Full Moon Down,2018,3.77,0.248,False
yggdrasil,147190,Yggdrasil (Second Edition with Asgard Expansion),2013,2.39,1.096,False
yggdrasil,71671,Yggdrasil,2011,2.6,-0.005,False
mag·blast,6209,Mag·Blast (Second Edition),2002,1.55,0.379,False
mag·blast,944,Mag·Blast,1998,1.58,0.404,False
zombie in my pocket,41372,Zombie in My Pocket,2010,1.38,-0.307,False
zombie in my pocket,33468,Zombie in My Pocket,2007,1.3,0.036,False
shipwrights of the north sea,249889,Shipwrights of the North Sea (Second Edition),2017,2.45,-0.182,False
shipwrights of the north sea,75547,Shipwrights of the North Sea,2014,2.31,-0.462,False
fleet: the dice game,328326,Fleet: The Dice Game (Second Edition),2020,2.23,0.651,False
fleet: the dice game,245961,Fleet: The Dice Game,2018,2.5,0.417,False
vanuatu,104020,Vanuatu,2011,3.29,0.182,False
vanuatu,193927,Vanuatu (Second Edition),2016,3.28,0.359,False
project: elite,171726,Project: ELITE,2016,2.45,0.518,False
project: elite,256999,Project: ELITE,2020,2.46,0.432,False
the cousins' war,224133,The Cousins' War,2017,2.0,0.135,False
the cousins' war,262818,The Cousins' War (Second Edition),2018,2.12,0.202,False
elevenses for one,158882,Elevenses for One,2014,1.26,-0.025,False
elevenses for one,200430,Elevenses for One,2016,1.25,0.46,False
lord of the rings: the confrontation,18833,Lord of the Rings: The Confrontation,2005,2.19,1.061,False
lord of the rings: the confrontation,3201,Lord of the Rings: The Confrontation,2002,2.15,0.798,False
trick shot,256707,Trick Shot,2021,2.37,0.724,False
trick shot,359612,Trick Shot (Second Edition),2024,2.5,0.734,False
council of verona,165469,Council of Verona (Second Edition),2014,1.59,-0.032,False
council of verona,140863,Council of Verona,2013,1.37,-0.136,False
onirim,156336,Onirim (Second Edition),2014,1.61,0.031,False
onirim,71836,Onirim,2010,1.65,-0.074,False
europa universalis: the price of power,254127,Europa Universalis: The Price of Power,2023,4.7,-0.134,False
europa universalis: the price of power,370448,Europa Universalis: The Price of Power (Deluxe Edition),2023,4.6,0.593,False
