game_id,n_obs,n_ref_raters,ref_penetration,hiddenness_bucket,hidden_bucket
145014,813,811,0.0029056852544534,eligible_<1700,eligible_<1700
145189,3482,3465,0.0124145492067586,exclude_>2500,exclude_>2500
145205,206,205,0.0007344827092021,eligible_<1700,eligible_<1700
145219,508,506,0.0018129182968599,eligible_<1700,eligible_<1700
145259,225,223,0.0007989738739126,eligible_<1700,eligible_<1700
145371,1632,1631,0.0058436160912621,eligible_<1700,eligible_<1700
145393,327,323,0.0011572581223039,eligible_<1700,eligible_<1700
145401,101,98,0.0003511185634234,eligible_<1700,eligible_<1700
145424,234,234,0.0008383851412356,eligible_<1700,eligible_<1700
145470,107,105,0.0003761984608108,eligible_<1700,eligible_<1700
145478,281,279,0.0009996130530117,eligible_<1700,eligible_<1700
146784,593,587,0.0021031285380569,eligible_<1700,eligible_<1700
146791,3582,3541,0.012686845235536,exclude_>2500,exclude_>2500
146886,11304,11300,0.0404861200682173,exclude_>2500,exclude_>2500
146922,174,161,0.0005768376399099,eligible_<1700,eligible_<1700
146943,183,183,0.000655660174556,eligible_<1700,eligible_<1700
146963,217,216,0.0007738939765252,eligible_<1700,eligible_<1700
147020,44411,44411,0.1591176175530619,exclude_>2500,exclude_>2500
148975,191,191,0.0006843229144273,eligible_<1700,eligible_<1700
149051,155,150,0.0005374263725869,eligible_<1700,eligible_<1700
149296,202,196,0.0007022371268469,eligible_<1700,eligible_<1700
149322,108,106,0.0003797813032947,eligible_<1700,eligible_<1700
149328,200,197,0.0007058199693308,eligible_<1700,eligible_<1700
149746,280,276,0.0009888645255599,eligible_<1700,eligible_<1700
149853,1066,1055,0.0037798988205282,eligible_<1700,eligible_<1700
150012,145,136,0.0004872665778121,eligible_<1700,eligible_<1700
150364,300,298,0.001067687060206,eligible_<1700,eligible_<1700
150376,45230,45098,0.1615790303395101,exclude_>2500,exclude_>2500
152952,230,227,0.0008133052438482,eligible_<1700,eligible_<1700
153016,3140,3127,0.011203548447196,exclude_>2500,exclude_>2500
153064,3333,3323,0.011905785574043,exclude_>2500,exclude_>2500
153065,5364,5357,0.0191932871863221,exclude_>2500,exclude_>2500
153120,169,167,0.0005983346948134,eligible_<1700,eligible_<1700
153225,285,283,0.0010139444229473,eligible_<1700,eligible_<1700
153507,2310,2308,0.0082692004528712,borderline_1700-2500,borderline_1700-2500
153639,318,316,0.0011321782249165,eligible_<1700,eligible_<1700
153703,117,116,0.0004156097281339,eligible_<1700,eligible_<1700
153724,308,305,0.0010927669575934,eligible_<1700,eligible_<1700
153728,416,401,0.0014367198360491,eligible_<1700,eligible_<1700
153757,108,106,0.0003797813032947,eligible_<1700,eligible_<1700
153870,143,142,0.0005087636327156,eligible_<1700,eligible_<1700
153905,287,285,0.0010211101079152,eligible_<1700,eligible_<1700
153912,627,624,0.0022356937099617,eligible_<1700,eligible_<1700
156175,338,330,0.0011823380196913,eligible_<1700,eligible_<1700
156180,942,939,0.0033642890923943,eligible_<1700,eligible_<1700
156372,304,301,0.0010784355876578,eligible_<1700,eligible_<1700
156373,846,845,0.0030275018989065,eligible_<1700,eligible_<1700
156453,122,121,0.0004335239405534,eligible_<1700,eligible_<1700
156458,134,133,0.0004765180503604,eligible_<1700,eligible_<1700
156482,156,155,0.0005553405850065,eligible_<1700,eligible_<1700
156501,1135,1134,0.0040629433767573,eligible_<1700,eligible_<1700
156548,1164,1146,0.0041059374865643,eligible_<1700,eligible_<1700
156566,6292,6286,0.0225217478538773,exclude_>2500,exclude_>2500
158544,346,346,0.0012396634994339,eligible_<1700,eligible_<1700
158564,475,471,0.001687518809923,eligible_<1700,eligible_<1700
158600,19235,19196,0.0687762443211946,exclude_>2500,exclude_>2500
161965,535,534,0.0019132378864095,eligible_<1700,eligible_<1700
161970,22797,22797,0.0816780601057655,exclude_>2500,exclude_>2500
162071,129,128,0.0004586038379408,eligible_<1700,eligible_<1700
162082,9265,9263,0.0331878699284864,exclude_>2500,exclude_>2500
162107,909,907,0.0032496381329091,eligible_<1700,eligible_<1700
162114,295,294,0.0010533556902704,eligible_<1700,eligible_<1700
162191,172,167,0.0005983346948134,eligible_<1700,eligible_<1700
162286,4056,4053,0.0145212605872995,exclude_>2500,exclude_>2500
162660,292,291,0.0010426071628186,eligible_<1700,eligible_<1700
161527,409,407,0.0014582168909526,eligible_<1700,eligible_<1700
