game_id,game name,release year,bgg_weight,residual,n_obs
355093,Woodcraft,2022,3.8222,-0.5871,5200
256382,Disney Villainous: The Worst Takes it All,2018,2.48,-0.5864,20127
197376,Charterstone,2017,2.8571,-0.5827,14461
346965,Azul: Queen's Garden,2021,2.9227,-0.5692,5184
22827,StarCraft: The Board Game,2007,3.8615,-0.5639,7307
285967,Ankh: Gods of Egypt,2021,3.1338,-0.5636,9716
297030,Tekhenu: Obelisk of the Sun,2020,4.0725,-0.5545,6017
359871,Arcs,2024,3.4457,-0.5526,7329
244992,The Mind,2018,1.0734,-0.5503,32652
318184,Imperium: Classics,2021,3.6231,-0.5487,7244
218603,Photosynthesis,2017,2.2659,-0.5457,23994
102104,Star Fluxx,2011,1.4162,-0.5433,5634
40398,Monopoly Deal Card Game,2008,1.3107,-0.5365,11196
336986,Flamecraft,2022,2.1869,-0.5275,15792
590,Mille Bornes,1954,1.2504,-0.5265,8370
350316,Wayfarers of the South Tigris,2022,3.8041,-0.5219,5319
170416,Vast: The Crystal Caverns,2016,3.6478,-0.5167,6945
77130,Sid Meier's Civilization: The Board Game,2010,3.8982,-0.5159,15432
201921,Tiny Epic Quest,2017,2.6875,-0.5136,7598
163602,XCOM: The Board Game,2015,2.9066,-0.5116,8929
179275,One Deck Dungeon,2016,2.092,-0.5032,11409
233020,Fireball Island: The Curse of Vul-Kar,2018,1.4522,-0.5029,6078
157526,Viceroy,2014,2.6371,-0.4962,5677
2375,Sequence,1982,1.3055,-0.4842,10617
278,Catan Card Game,1996,2.438,-0.4831,13833
815,Chrononauts,2000,1.8499,-0.4787,5472
297562,Kemet: Blood and Sand,2021,3.1965,-0.4764,5098
302260,Abandon All Artichokes,2020,1.239,-0.4759,5580
2281,Pictionary,1985,1.222,-0.4734,8063
191925,Bandido,2016,1.1262,-0.4731,6090
483,Diplomacy,1959,3.3234,-0.4684,12881
193621,Joking Hazard,2016,1.0291,-0.4665,6005
127398,Legends of Andor,2012,2.7662,-0.4663,19020
134253,Hostage Negotiator,2015,2.0585,-0.4580,5919
323612,Bitoku,2021,3.7596,-0.4500,6520
143884,Machi Koro,2012,1.5194,-0.4476,33219
161970,Alchemists,2014,3.9242,-0.4457,22797
340466,Unfathomable,2021,3.1232,-0.4457,5764
300877,New York Zoo,2020,1.9634,-0.4384,8931
304051,Creature Comforts,2022,2.3543,-0.4382,5414
113924,Zombicide,2012,2.5329,-0.4237,17981
181810,Kodama: The Tree Spirits,2016,1.6414,-0.4229,5896
238992,Call to Adventure,2019,2.0058,-0.4217,6306
232414,Oceans,2020,2.8474,-0.4215,6797
310873,Carnegie,2022,3.8196,-0.4180,10059
36946,Red November,2008,2.0732,-0.4160,7975
379078,Expeditions,2023,3.0617,-0.4158,6374
