game_id,title,split_type,n_low,n_high,mean_low_adj,mean_high_adj,diff_adj,se_diff,z,p_value,supported_ge10,supported_ge5,is_significant,n_obs_game,adj_mean_game,mean_low_raw,mean_high_raw,sd_low_adj,sd_high_adj,primary_type,weight
394960,Legendary: A Marvel Deck Building Game – Marvel Studios' What If...?,specialist_Coop_0-4_vs_ge20,5,79,7.577647428150621,8.344164129401115,0.7665167012504934,0.3220332455077638,2.380240897308268,0.017301323464697482,False,True,True,119,8.4226702292903,7.7,8.144303797468353,0.6581610648489692,1.161269515097763,Coop,3.0
127,Princess Ryan's Star Marines,specialist_Coop_0-4_vs_ge20,43,105,5.801922248676659,5.914797158259753,0.11287490958309387,0.2229970066335102,0.5061723082615224,0.6127356930252148,True,True,False,218,5.721350564567424,5.648837209302326,5.468571428571429,1.1570831738563965,1.3971903105711787,Coop,2.4231
679,Minion Hunter,specialist_Coop_0-4_vs_ge20,34,96,6.3535279436263945,6.448894458233632,0.09536651460723711,0.2688967057599942,0.3546585456958228,0.7228454103437592,True,True,False,190,6.412099907319041,6.6838235294117645,5.820416666666667,1.2667792438647947,1.5525207602771796,Coop,1.8824
37111,Battlestar Galactica: The Board Game,specialist_Coop_0-4_vs_ge20,7641,13042,7.999285440690099,7.980397949824752,-0.018887490865346912,0.02041442485088699,-0.9252031836951932,0.35486022776545223,True,True,False,35249,7.9845692553898715,7.966998807747687,7.469982134641926,1.361811414151892,1.5065994550048267,Coop,3.2519
67878,Dungeon Crawler,specialist_Coop_0-4_vs_ge20,9,102,6.323106657088467,6.68447205422594,0.3613653971374724,0.7312775336357068,0.4941562956827964,0.621195802499034,False,True,False,142,6.652633235698973,6.488888888888889,6.2745098039215685,2.1472547206625987,1.5137980868698986,Coop,2.625
111105,Agents of SMERSH,specialist_Coop_0-4_vs_ge20,67,1258,6.8409501505706,7.290039197395105,0.449089046824505,0.17658147192142554,2.5432399103816437,0.0109829789713638,True,True,True,1673,7.248459841755712,6.932835820895522,6.88635930047695,1.418265167192304,1.2074780635491205,Coop,2.4848
111502,Star Trek Deck Building Game: The Next Generation – Next Phase,specialist_Coop_0-4_vs_ge20,62,319,6.703267116459622,6.697543614623136,-0.005723501836485845,0.1941975733374639,-0.029472571351547818,0.976487694326035,True,True,False,566,6.740002778898315,7.225,6.3003448275862075,1.4001205562773114,1.3943089712736312,Coop,2.4615
121414,Countdown: Special Ops,specialist_Coop_0-4_vs_ge20,14,94,6.453807338542449,5.24737845767917,-1.2064288808632782,0.6659622452836048,-1.8115574710237692,0.07005460133948493,True,True,False,139,5.319767087154544,6.392857142857143,4.838297872340425,2.418393685941799,1.5556919287692292,Wargame,2.65
121806,Race to the Treasure!,specialist_Coop_0-4_vs_ge20,47,295,6.416167471469313,6.259303399370004,-0.1568640720993093,0.19886672409715309,-0.7887899436744175,0.43023478807777993,True,True,False,492,6.309802958108701,6.688368723404254,5.966101694915255,1.2906986379318772,1.1002057983717348,Coop,1.0909
121921,Robinson Crusoe: Adventures on the Cursed Island,specialist_Coop_0-4_vs_ge20,5453,19531,7.873683540074033,8.004350799126398,0.13066725905236432,0.019697395837392162,6.633732709189643,3.2730262944369315e-11,True,True,True,42784,7.949013055775979,7.897013515496059,7.5996651175055,1.2949412692922657,1.2536863387991835,Coop,3.8272
127721,Airborne In Your Pocket,specialist_Coop_0-4_vs_ge20,5,103,4.88131723931971,6.888319911264907,2.007002671945197,1.466955087828444,1.3681418665081244,0.1712676740353114,False,True,False,137,6.73336766628275,5.4,6.6542610679611665,3.2642991048006995,1.4646612442058167,Wargame,1.4545
142889,Enemy Coast Ahead: Operation Chastise – The Dambuster Raid,specialist_Coop_0-4_vs_ge20,69,128,7.920366590348635,7.927663801591994,0.007297211243358248,0.14553097249863228,0.050141980899817244,0.9600092458743377,True,True,False,287,7.883374286395114,7.952173913043479,7.56484375,0.9018541986748366,1.096421133370981,Wargame,3.1707
143096,Camp Grizzly,specialist_Coop_0-4_vs_ge20,63,461,7.268162896937198,7.398380740436882,0.13021784349968435,0.2057346181366659,0.6329408471897662,0.5267722721273576,True,True,False,756,7.432942033522852,7.529365079365079,7.072744034707158,1.5255024139582103,1.5759887242122568,Coop,1.9762
148740,Scotland Yard Master,specialist_Coop_0-4_vs_ge20,71,121,6.548941666680144,6.624289810606913,0.07534814392676914,0.17230731426136145,0.43728929471025574,0.6619015580763215,True,True,False,318,6.5330092098707215,6.62112676056338,6.226611570247934,1.011275206476531,1.3599978235598933,Coop,1.6429
148744,City of Zombies,specialist_Coop_0-4_vs_ge20,11,87,6.3323898658394535,6.923649783197437,0.5912599173579833,0.6636518329683606,0.8909188342227806,0.37297271536985166,True,True,False,151,6.848709537884582,6.7272727272727275,6.6183908045977,2.1598868726550067,1.192034951741288,Coop,1.5714
153991,Salvation Road,specialist_Coop_0-4_vs_ge20,12,235,6.93409967837892,7.036956847725566,0.10285716934664624,0.3983878601657785,0.25818349310103217,0.796265296765605,True,True,False,299,6.9655256215249315,7.5,6.742634042553194,1.3521740431918274,1.2214165469940965,Coop,2.3333
154939,MERCS: Recon – Counter Threat,specialist_Coop_0-4_vs_ge20,16,160,6.792137057508126,6.70239598715187,-0.089741070356256,0.28977080911633607,-0.3096967242142983,0.7567915940869796,True,True,False,240,6.683259921328948,7.5,6.4719375,1.0260971215060477,1.704695416465886,Coop,3.2941
164265,Witness,specialist_Coop_0-4_vs_ge20,98,2073,7.465916011225751,7.705670420396501,0.2397544091707502,0.11520609778149214,2.0810913118981342,0.03742554893447725,True,True,True,2765,7.683434719952147,7.531122448979591,7.160301013024602,1.107769308270437,1.2472927687410007,Coop,1.5417
168274,Mistfall,specialist_Coop_0-4_vs_ge20,95,1241,6.676141379461162,6.93067314481124,0.2545317653500776,0.15979542912153763,1.592860113392137,0.11119157597218043,True,True,False,1770,6.874851945950719,6.925263157894737,6.526142925060435,1.50517916458017,1.4467164019435566,Coop,3.9545
169427,Middara: Unintentional Malum – Act 1,specialist_Coop_0-4_vs_ge20,88,1670,8.691386092065905,8.75430903058266,0.06292293851675446,0.16334370191212913,0.38521802665280536,0.7000758886639509,True,True,False,2327,8.732953291397942,8.852272727272727,8.374922688622757,1.4893752093210213,1.5688939469584988,Coop,4.1368
169513,Dorasure,specialist_Coop_0-4_vs_ge20,23,92,6.836799049039724,6.782942449069518,-0.05385659997020653,0.2578957282742279,-0.2088309113555354,0.8345802395394595,True,True,False,189,6.775453066053208,6.732173913043477,6.172282608695651,1.1195163223212838,1.0515093100574966,Coop,1.7778
169544,Bright Future,specialist_Coop_0-4_vs_ge20,32,102,6.730921051141289,6.572390125665758,-0.15853092547553072,0.23386959055651835,-0.6778603626845584,0.4978602339254321,True,True,False,221,6.583073408970379,7.28125,6.233823529411765,1.0664700971971732,1.3976975323881071,Coop,2.7895
174837,Sol: Last Days of a Star,specialist_Coop_0-4_vs_ge20,114,992,8.265510274744882,7.990702641422113,-0.2748076333227685,0.09536502928179143,-2.88163947929746,0.003956120968737098,True,True,True,1539,8.069890995715985,8.19157894736842,7.28163810483871,0.9245908576072971,1.2581253200787712,Coop,2.8889
175209,Darkness Comes Rattling,specialist_Coop_0-4_vs_ge20,11,133,6.631762668128842,6.766114188832678,0.13435152070383616,0.5712080066801509,0.23520594797801314,0.8140488896675189,True,True,False,186,6.715506295781148,6.7272727272727275,6.4943609022556394,1.8589729597370892,1.269458394844557,Coop,3.0909
182194,AYA,specialist_Coop_0-4_vs_ge20,18,247,5.69807109393768,6.162962051031042,0.4648909570933615,0.33145540465678514,1.4025746769003389,0.1607437075073317,True,True,False,317,6.08135918026926,5.972222222222222,5.727165991902836,1.3639273650232038,1.2683306623788615,Coop,1.7143
182453,The Game + The Game on Fire,specialist_Coop_0-4_vs_ge20,48,326,6.700978982426842,7.1199662053179145,0.41898722289107226,0.15573880813763083,2.690319952370518,0.007138354289447868,True,True,True,558,7.012572429420897,6.802152708333334,6.768565092024539,0.9959499925131993,1.081770043820305,Coop,1.1579
188547,Maximum Apocalypse,specialist_Coop_0-4_vs_ge20,136,1542,7.656869406337319,7.6239797471084545,-0.03288965922886433,0.0973738109965901,-0.3377669918867208,0.7355387861283595,True,True,False,2325,7.630487716443484,7.890686250000001,7.315122360570689,1.0916985655191427,1.0524942632906993,Coop,2.1341
189154,The Ninth World: A Skillbuilding Game for Numenera,specialist_Coop_0-4_vs_ge20,6,115,6.519593602920062,6.59508927452719,0.07549567160712822,0.9264429927781543,0.081489818796877,0.9350524213741327,False,True,False,152,6.575876755671029,6.5,6.164904347826086,2.250510636504865,1.2762498867950696,Coop,2.6667
189829,Zombie Tower 3D,specialist_Coop_0-4_vs_ge20,12,119,6.823161935810898,6.829550501297588,0.006388565486689757,0.31113021188004997,0.020533414122935578,0.9836178570750012,True,True,False,195,6.80623125855373,7.288333333333333,6.449270168067228,1.0226180457272538,1.0719645540231693,Coop,2.0
190333,Fire of Eidolon,specialist_Coop_0-4_vs_ge20,31,172,7.106842911422019,7.049578822501298,-0.057264088920721434,0.17244165223133173,-0.3320780575907568,0.7398303183814516,True,True,False,284,7.092329805056775,7.661290322580645,6.816162790697674,0.8517466057039429,1.043749102866411,Coop,1.8182
190400,Aventuria: Adventure Card Game,specialist_Coop_0-4_vs_ge20,19,662,7.460085633029473,7.5742355998656645,0.11414996683619183,0.27927265921385946,0.40874021523452775,0.6827303179048856,True,True,False,894,7.586476161832237,7.473684210526316,7.2738368580060415,1.2009239353103924,1.1754100019592535,Coop,2.5882
198985,Day Night Z,specialist_Coop_0-4_vs_ge20,11,165,6.838952512966525,7.484007652132263,0.6450551391657378,0.8284317020213203,0.7786461305039927,0.4361881970517727,True,True,False,253,7.433809764495644,6.954545454545454,7.143515151515152,2.69261340606099,2.1182173385443543,Coop,3.7407
199042,Harry Potter: Hogwarts Battle,specialist_Coop_0-4_vs_ge20,2208,9589,7.506129150782802,7.4482157426864175,-0.057913408096384345,0.02883296594053399,-2.008583099491976,0.04458136511716382,True,True,True,19092,7.463676973961336,7.682281299818841,7.102679040567317,1.237715768107417,1.148364223950832,Coop,2.0869
199309,Pathogenesis,specialist_Coop_0-4_vs_ge20,19,149,7.1182890318512975,7.056337663182535,-0.06195136866876272,0.3614356826753377,-0.1714035764543231,0.8639064427920011,True,True,False,221,7.082072956188224,7.389473684210526,6.624362416107382,1.508969433670173,1.2682041159372561,Coop,2.875
199493,Escape the Room: Secret of Dr. Gravely's Retreat,specialist_Coop_0-4_vs_ge20,11,776,6.471016436022925,7.325458913749815,0.8544424777268897,0.336458343060385,2.5395193650274286,0.011100489989593676,True,True,True,899,7.266335656416845,6.363636363636363,6.883509458762887,1.106725872757702,1.1997605389273096,Party,1.7778
213460,Unlock!: Escape Adventures,specialist_Coop_0-4_vs_ge20,235,4728,7.311400815443969,7.746071723840164,0.43467090839619527,0.09356514222814265,4.6456500577568125,3.3900724702995433e-06,True,True,True,6564,7.670522289579098,7.389692680851063,7.3251987182741125,1.4122094833443397,1.1254497711204956,Coop,2.1215
213491,The Legend of the Wendigo,specialist_Coop_0-4_vs_ge20,16,172,5.829804916428391,6.187073103274474,0.35726818684608297,0.3654475037245013,0.9776183534021772,0.3282631165406251,True,True,False,244,6.066431684301007,6.25,5.893401162790697,1.407107419057289,1.2986326108879052,Coop,1.0
213882,Space Escape,specialist_Coop_0-4_vs_ge20,24,351,6.936907766881181,7.0358281838861645,0.09892041700498311,0.29314640012717297,0.3374437378800128,0.7357824180004164,True,True,False,495,7.0221464213443285,7.385000000000001,6.768829059829061,1.4113762732528845,1.015070356322485,Coop,1.5
