spec,weighting,target,n_games,n_features,r2_in,rmse_in,mae_in,cv_r2_mean,cv_r2_sd,cv_rmse_mean,cv_rmse_sd,beta_logn,beta_logn_fold_sd,beta_weight,beta_weight_fold_sd,beta_year,corr_resid_logn,corr_cvresid_logn,spearman_resid_logn,max_abs_bandmean_resid,max_abs_band6mean_resid
Q3b_flex_volume_ns,wls_n,adj,14698,45,0.5789723166443819,0.5494295536304246,0.4072176601328328,0.5758665360251741,0.004343429599763668,0.5512783811536719,0.006955597707650569,,,0.41441259387560647,0.005359560267289369,,0.008216235286110008,0.008622579116677211,-0.007390277709735518,0.02921101084526127,0.03435236061471659
Q3b_flex_volume_ns,gls_eff,adj,14698,45,0.6018628432837019,0.5342850784616887,0.3973107203165868,0.5987060755588149,0.00611631950479501,0.5362082484641897,0.006388734440889573,,,0.47268066368324585,0.008123006991947773,,0.012586273444233898,0.012422576022307513,0.0021405381999885175,7.507457033645357e-05,0.02645191927533355
Q4_mechanics_ns,ols,adj,14698,69,0.6191438981632102,0.5225611863654921,0.3874105092909275,0.6149159119872726,0.007049766870013737,0.5252619464730495,0.007001762086067325,0.447237996019696,0.005070732363537585,0.43889997118208285,0.007755125113849021,,1.4498586287473738e-12,-0.00020126992251554671,-0.018788970257875664,0.027979006041131373,0.01522228046939607
Q4_mechanics_ns,wls_n,adj,14698,69,0.5986176239509249,0.5364581403844577,0.39833367197669356,0.594117412581846,0.004157608783415507,0.5393013085888831,0.007856842047563123,0.46718396593067857,0.007389082219010585,0.40925529476500233,0.005474982597269997,,-0.013423449239612228,-0.013728091794946025,-0.03959947278464635,0.023981740524609323,0.023981740524609323
Q3,ols,raw,14698,36,0.5448651943150112,0.5359810296665252,0.400829897105062,0.5418417066874082,0.00406692694822315,0.5376078009906676,0.0074658846189550486,0.35891990843308835,0.0015537492424915434,0.4053474951878685,0.007508138464369677,0.024469033327240583,-2.91366133932809e-15,0.00010710573470327805,-0.02647970243297965,0.04872945784953429,0.03629726165827289
Q3,wls_n,raw,14698,36,0.5185272805087607,0.5512711142533873,0.41301575409547125,0.5155046493205481,0.0032663748600197102,0.5528484095232221,0.007690675577392945,0.42434304411628854,0.00982270250387742,0.3509177070953564,0.008146939892768835,0.024193507516930522,-0.05768150215664207,-0.057288894658102114,-0.09031055658022626,0.0809525184755652,0.0809525184755652
Q3b,ols,raw,14698,45,0.583061735948812,0.5129975266842474,0.38115476037665486,0.5798716020775488,0.0058900092910795215,0.5147740808209822,0.005257159993020925,,,0.40252597761917547,0.007455954411913216,,0.011091921573159023,0.010933012736690019,-0.002853998580409011,6.572463785336036e-12,0.023524981547319655
Q3b,wls_n,raw,14698,45,0.554382830069421,0.5303472880330266,0.39292989348481916,0.5511728571353594,0.00546279061546816,0.532075431496201,0.005774069859753844,,,0.35103604716276526,0.006279994003288001,,0.0047172512163932,0.005070282539921023,-0.010395110812101167,0.042835265831301955,0.02961307678443298
Q4,ols,raw,14698,76,0.594816486609754,0.5057143500861494,0.3743216808410888,0.5900795827174343,0.006290990675859351,0.5084740837883471,0.0049594949134895705,,,0.38024649002064254,0.0072441988496765326,,0.01162041643509412,0.01089972288643832,-0.002725091725061648,1.252286559474113e-11,0.02403458997194827
Q4,wls_n,raw,14698,76,0.5681752445803315,0.5220753185984248,0.38653140616866055,0.5635296659151667,0.00477587325098689,0.5247128276557883,0.006476421519724637,,,0.34685739669977467,0.006825639331970237,,0.005860332980352554,0.006026368988143761,-0.010489256477833131,0.039204965826032286,0.030236521525356094
Q0,ols,raw,14698,3,0.21714083362260328,0.7029447874279399,0.5354963015326302,0.21665952617463638,0.005947969929118566,0.7029758159950649,0.010344124326117605,0.42458003691902185,0.0030751365008079706,,,0.021748142280498216,-9.66314410102455e-16,-3.9524196369140124e-07,-0.005050062714971631,0.08451181904665016,0.051363388936070134
Q0,wls_n,raw,14698,3,0.20497184606809726,0.7083871074933135,0.5372301081020817,0.20417074151622777,0.010517090492518788,0.7085399683648665,0.010632911706840453,0.4786906158366897,0.007296865295694878,,,0.027898775193054615,-0.04963277112102511,-0.049435601765771255,-0.05378162967145676,0.09681014846998989,0.09681014846998989
Q1,ols,raw,14698,4,0.49358069915069913,0.5653722899128288,0.4294586136549401,0.4931276133902668,0.003394396427797598,0.5654947653831441,0.009372569762018128,0.3184833358020466,0.0026571726015645046,0.5293269709038249,0.0022026874258946998,0.021419341093800805,-2.497228694133195e-15,4.378714361454925e-05,-0.029669875496443877,0.09689486936455576,0.04943920252527774
Q1,wls_n,raw,14698,4,0.47267880989292665,0.5769218747380116,0.4356116936068784,0.4717979130069499,0.004883176814038909,0.5772593882605572,0.009257225335908392,0.41294768308595475,0.006110742721879013,0.4047330117531781,0.002826872599577922,0.02333333766453161,-0.07038827339428676,-0.0701336494728062,-0.09809421751260006,0.10147609334405447,0.10147609334405447
