spec,fold,feature,beta,mean,sd,beta_full,ols_se
Q3b_x18XX,5,fam_Legacy Game,,,,,
Q3bFam,1,fam_Legacy Game,0.2042131356607574,0.13880813548776025,0.04217387562542338,0.13941295050574648,0.07615423322012468
Q3bFam,2,fam_Legacy Game,0.08970828480066323,0.13880813548776025,0.04217387562542338,0.13941295050574648,0.07615423322012468
Q3bFam,3,fam_Legacy Game,0.14744380872173488,0.13880813548776025,0.04217387562542338,0.13941295050574648,0.07615423322012468
Q3bFam,4,fam_Legacy Game,0.13082863632767952,0.13880813548776025,0.04217387562542338,0.13941295050574648,0.07615423322012468
Q3bFam,5,fam_Legacy Game,0.12184681192796619,0.13880813548776025,0.04217387562542338,0.13941295050574648,0.07615423322012468
Q4,1,fam_Legacy Game,,,,,
Q4,2,fam_Legacy Game,,,,,
Q4,3,fam_Legacy Game,,,,,
Q4,4,fam_Legacy Game,,,,,
Q4,5,fam_Legacy Game,,,,,
Q4Fam,1,fam_Legacy Game,0.1609036356366645,0.09793223196592063,0.046580487938782084,0.09786175970048744,0.07593748464743033
Q4Fam,2,fam_Legacy Game,0.04281567008143922,0.09793223196592063,0.046580487938782084,0.09786175970048744,0.07593748464743033
Q4Fam,3,fam_Legacy Game,0.12798749738305587,0.09793223196592063,0.046580487938782084,0.09786175970048744,0.07593748464743033
Q4Fam,4,fam_Legacy Game,0.07378934361119352,0.09793223196592063,0.046580487938782084,0.09786175970048744,0.07593748464743033
Q4Fam,5,fam_Legacy Game,0.0841650131172501,0.09793223196592063,0.046580487938782084,0.09786175970048744,0.07593748464743033
Q3bFam_yearlin,1,fam_Legacy Game,0.3328363857895632,0.25684233275576285,0.04646384610804383,0.25744632721404503,0.08001382030632932
Q3bFam_yearlin,2,fam_Legacy Game,0.22174471966770606,0.25684233275576285,0.04646384610804383,0.25744632721404503,0.08001382030632932
Q3bFam_yearlin,3,fam_Legacy Game,0.26376292723526434,0.25684233275576285,0.04646384610804383,0.25744632721404503,0.08001382030632932
Q3bFam_yearlin,4,fam_Legacy Game,0.21814381180644912,0.25684233275576285,0.04646384610804383,0.25744632721404503,0.08001382030632932
Q3bFam_yearlin,5,fam_Legacy Game,0.24772381927983145,0.25684233275576285,0.04646384610804383,0.25744632721404503,0.08001382030632932
