game_id,n_raters_active,n_obs,raw_mean,adj_mean,mean_delta_pool,selection_residual_mean,selection_z,selection_p,selection_residual_cross_mean,selection_cross_z,share_heavy_500plus,share_heavy_250plus,share_light_10_24,share_deg_broad,share_own,share_want,share_preordered,chi2_volume_band,kl_volume_band,chi2_p,mean_cnt_pool,enthusiasm_vs_own_other,title,year,weight
323784,264,264,7.331501742424242,7.689904396727615,-0.35840265430337054,-1.2616170734376779e-15,-1.531319410389477e-14,0.9999999999999878,-0.0038905013287365217,-0.046590455001649926,0.10227272727272727,0.25757575757575757,0.10984848484848485,0.007575757575757576,0.5833333333333334,0.003787878787878788,0.0,29.47199200091702,0.05753860375811866,,239.92424242424244,0.12376800238211634,Ghost Letters,2020.0,1.0
323841,162,162,6.930555555555555,7.081470331150812,-0.1509147755952557,-7.106798003310415e-16,-9.456028375243858e-15,0.9999999999999925,0.014645453494735552,0.19293564056981954,0.38888888888888884,0.6419753086419753,0.030864197530864196,0.012345679012345678,0.5802469135802469,0.0,0.0,56.8990179344958,0.16208208227150395,,625.0864197530864,-0.38997880660724804,,,
323882,147,147,6.152380952380953,6.484580475990586,-0.332199523609631,-2.5195265375166816e-15,-2.3008991705247925e-14,0.9999999999999816,0.00857578478295202,0.07696042433226033,0.3197278911564626,0.564625850340136,0.04081632653061224,0.0,0.3469387755102041,0.0,0.0,30.613987172450557,0.09075572607885642,,571.9659863945578,-0.9447526333630457,Unfold: Dark Story,2020.0,
323903,127,127,6.512913385826772,6.662831157454156,-0.14991777162738687,2.4905711788638355e-15,3.028107213941284e-14,0.9999999999999758,0.0060038072136571604,0.07193363193414234,0.29133858267716534,0.47244094488188976,0.05511811023622047,0.015748031496062992,0.5433070866141733,0.0,0.0,10.406365051979408,0.035534779763444026,,575.9606299212599,-0.6897704669779187,,,
323911,71,71,5.528169014084507,5.377866723609435,0.1503022904750703,2.129751773999244e-15,1.0780280577457925e-14,0.9999999999999913,0.022688062141993884,0.10801296105544439,0.056338028169014086,0.18309859154929578,0.1267605633802817,0.014084507042253521,0.8169014084507042,0.0,0.0,25.06380435962723,0.1923292511998069,,145.04225352112675,-1.7909357650869477,,,
324090,1778,1778,7.897758149606298,8.170808918626813,-0.27305076902052666,1.3181556833429165e-14,4.03578546536409e-13,0.999999999999678,0.0016875251158669478,0.050530571962447104,0.15748031496062992,0.37514060742407196,0.06974128233970754,0.011811023622047244,0.5793025871766029,0.00281214848143982,0.023059617547806523,24.457868538382456,0.00719354865978551,,307.41957255343084,0.4451038097942215,,,
324104,83,83,8.08433734939759,8.311333488496825,-0.22699613909923222,-2.0385299873840225e-15,-1.7104760438758086e-14,0.9999999999999865,-3.892853865978042e-05,-0.0003182926876175281,0.2650602409638554,0.4457831325301205,0.10843373493975904,0.012048192771084338,0.5903614457831325,0.012048192771084338,0.012048192771084338,7.297665884869077,0.04009608883344922,,607.8072289156627,0.6304153349113427,,,
324150,242,242,7.072727272727274,7.853270897733603,-0.7805436250063282,-2.564064663070248e-15,-3.5952155194375527e-14,0.9999999999999714,0.006683454544002382,0.09267458397339798,0.359504132231405,0.6611570247933884,0.008264462809917356,0.008264462809917356,0.7024793388429752,0.0,0.0,84.13059643689834,0.1832968638555152,,585.3595041322315,0.2547616178641917,Reign of Witches,2020.0,2.0
324157,254,254,8.100472440944882,8.434634644969691,-0.3341622040248041,-4.7582235614446666e-15,-8.134987463179851e-14,0.9999999999999352,-0.0008238172882776975,-0.013844373894680077,0.23622047244094488,0.47244094488188976,0.03543307086614173,0.003937007874015748,0.41338582677165353,0.003937007874015748,0.0,14.07177992374328,0.031319210887838976,,411.40944881889766,0.9312878346514989,Hidden Games Crime Scene: Green Poison,2020.0,2.0
324158,112,112,6.517499999999999,6.9328853278328895,-0.4153853278328902,9.179165364311562e-16,6.339982532784078e-15,0.9999999999999949,0.003483020549172986,0.02373118335697911,0.24107142857142858,0.4910714285714286,0.03571428571428571,0.0,0.44642857142857145,0.0,0.0,12.52665901836085,0.05483357273221081,,546.8839285714286,-0.48900670897159226,,,
