game_id,n_obs,n_ref_raters,ref_penetration,title,resid_Q3bFam,hiddenness_bucket
7114,120,99,0.00035470140590739067,SOPAC: Naval Action in the South Pacific 1942–1943,-0.024796581738035783,eligible_<1700
7176,193,155,0.0005553405850065207,Battle of the Bulge: Platoon Level Combat in World War II – A Panzer Grenadier Game,-0.0358750946349069,eligible_<1700
7218,188,187,0.0006699915444917379,18VA,0.042758139931253325,eligible_<1700
7239,404,391,0.0014008914112099975,Medieval,-0.22904514649174956,eligible_<1700
7251,196,152,0.0005445920575547817,The Speed of Heat,0.27245129744602714,eligible_<1700
7270,253,247,0.0008849620935265202,GOLO,-0.36406844132728455,eligible_<1700
7314,105,99,0.00035470140590739067,Mystery Date,-0.42954931106848804,eligible_<1700
7334,113,105,0.0003761984608108689,Knockout,0.23880206352419098,eligible_<1700
7336,854,833,0.00298450778909956,Trivial Pursuit: The Lord of the Rings Movie Trilogy Collector's Edition,-0.4752773699340995,eligible_<1700
7377,110,107,0.00038336414577869497,Tri-Ba-Lance,0.6879425243209916,eligible_<1700
7470,106,93,0.0003332043510039125,BattleSpace: The BattleTech Game of Space Combat,-0.7018366174137673,eligible_<1700
7473,101,96,0.00034395287845565155,Drag Strip!,-0.6312612027121514,eligible_<1700
7483,320,311,0.0011142640124969547,Schatz der Drachen,1.0577250595973169,eligible_<1700
7502,137,109,0.0003905298307465211,Leros,-0.10566911594247941,eligible_<1700
7563,127,118,0.0004227754131017384,Jaws,-0.23436858772550195,eligible_<1700
7614,333,298,0.001067687060206085,A World at War: Second World War in Europe and the Pacific,-0.4334963333784012,eligible_<1700
7662,115,90,0.00032245582355217337,Bar-Lev: The Yom-Kippur War of 1973,0.9252058035988684,eligible_<1700
7709,169,163,0.0005840033248778251,Hands Down,-0.74453711727267,eligible_<1700
7718,265,262,0.0009387047307852157,The Penguin Ultimatum,0.26059368633339286,eligible_<1700
7719,980,968,0.00346819152442782,Arena Maximus,-0.2665842536463421,eligible_<1700
7742,374,358,0.0012826576092408674,Confrontation,0.2111825564876284,eligible_<1700
7755,159,126,0.0004514381529730427,Victory in Normandy,0.6845902870511775,eligible_<1700
7803,401,385,0.0013793943563065194,O'NO 99,0.0969864734145407,eligible_<1700
7824,790,762,0.0027301259727417343,Break the Safe,-0.2808635785025464,eligible_<1700
7826,182,179,0.0006413288046204337,Secrets of the Tombs,-0.7714935851781943,eligible_<1700
7858,801,676,0.0024220015191252133,Ardennes '44: The Battle of the Bulge,0.5156593714363904,eligible_<1700
7922,146,118,0.0004227754131017384,The 6 Days of Glory,0.04291972968304503,eligible_<1700
7935,212,208,0.0007452312366539117,1844: Schweiz,0.8985481517989307,eligible_<1700
7941,135,95,0.00034037003597173855,NATO: Operational Combat in Europe in the 1970's,-0.11154663330939218,eligible_<1700
7967,519,515,0.0018451638792152142,Mutiny!,-0.4244139873726045,eligible_<1700
7972,328,327,0.0011715894922395631,Crocodile Pool Party,-0.9850901720450675,eligible_<1700
9211,379,365,0.0013077375066282587,Screwball Scramble,-0.06263304743610654,eligible_<1700
9921,167,156,0.0005589234274904338,Headache,-0.8120162659746759,eligible_<1700
9961,113,85,0.00030454161113260814,"Year of the Rat: Vietnam, 1972",0.3358172158516277,eligible_<1700
9962,692,677,0.002425584361609126,Chez Goth,-0.3049186744334236,eligible_<1700
9963,380,375,0.001343565931467389,Santorini,1.09007778024315,eligible_<1700
10140,298,290,0.0010390243203347808,The Scrambled States of America: Deluxe Edition,-0.06690709631279379,eligible_<1700
10164,603,596,0.00213537412041217,Fliegen klatschen,-0.030232489663824857,eligible_<1700
10196,241,240,0.000859882196139129,Farlander,-0.5832752154030985,eligible_<1700
10226,204,148,0.0005302606876191296,"Thunder at the Crossroads: The Battle of Gettysburg, July 1-3, 1863  (Second Edition)",0.7201945603452238,eligible_<1700
10293,478,473,0.0016946844948908667,En busca del Imperio Cobra,-0.14542704525260053,eligible_<1700
10431,264,242,0.000867047881106955,Epic Armageddon,0.6511814152286606,eligible_<1700
10453,470,454,0.001626610487696519,Crocodile Dentist,-0.822605832342413,eligible_<1700
10506,116,116,0.0004156097281339123,Blue Marble,-0.7992847392222382,eligible_<1700
10520,393,393,0.0014080570961778236,Tyrus,-0.0781385223530533,eligible_<1700
10527,440,431,0.0015442051105665191,Gyges,0.530897621945531,eligible_<1700
10534,206,152,0.0005445920575547817,Napoleon's Art of War: Eylau & Dresden,0.0025977846283700146,eligible_<1700
10547,43890,43385,0.1554416211645671,Betrayal at House on the Hill,-0.15312508241575795,exclude_>2500
10550,1617,1588,0.005689553864453903,Big Boggle,0.9869229870065643,eligible_<1700
10579,136,110,0.0003941126732304341,The War for the Union,0.022236971599917332,eligible_<1700
10623,188,151,0.0005410092150708686,Gringo!: The Mexican War 1846-48,0.21037711132327175,eligible_<1700
13224,200,186,0.000666408702007825,The Conquerors: Alexander the Great,-0.699036267712926,eligible_<1700
13230,1058,1040,0.003726156183269559,Gobblet Gobblers,0.1382534558676083,eligible_<1700
13254,130,104,0.00037261561832695585,Second World War at Sea: Midway,0.020949044038975018,eligible_<1700
13284,272,270,0.0009673674706565201,Cowpoker,-0.3380748121176973,eligible_<1700
13293,820,808,0.0028949367270017343,Vs System,0.08909702031851019,eligible_<1700
13308,8781,8738,0.03130687762443212,Niagara,-0.1992858928043102,exclude_>2500
13347,564,557,0.0019956432635395618,Plunder,-0.1379484123323449,eligible_<1700
13367,142,137,0.0004908494202960861,Charades for Kids,-0.19496083510571705,eligible_<1700
13373,141,138,0.0004944322627799991,Choco,-0.6018834168182323,eligible_<1700
13456,598,585,0.002095962853089127,Vampire: Prince of the City,-0.4722260356908832,eligible_<1700
13503,164,164,0.0005875861673617382,Dicke Dämonen,1.0423433917147973,eligible_<1700
13507,719,716,0.0025653152184817347,WINK,0.8744487718066285,eligible_<1700
13508,156,147,0.0005266778451352165,Boggle Jr.,-1.0464122284599195,eligible_<1700
13511,978,963,0.003450277312008255,Ninja Versus Ninja,-0.22122569052690455,eligible_<1700
13512,166,165,0.0005911690098456511,Imagem & Ação 2,0.610030625596039,eligible_<1700
13542,322,320,0.0011465095948521718,De Ontembare Stad,-0.31043817839204646,eligible_<1700
13576,101,100,0.00035828424839130373,Math Dice,-0.4815763411154945,eligible_<1700
13642,5490,5485,0.01965189102426301,Louis XIV,-0.05768353360069867,exclude_>2500
13703,180,170,0.0006090832222652163,The Game of Life: Pirates of the Caribbean,-0.6213400327179848,eligible_<1700
13855,322,281,0.0010067787379795634,"Carthage: The First Punic War – The Ancient World, Vol. II",-0.017986430494095096,eligible_<1700
13884,2547,2542,0.00910758559410694,The Scepter of Zavandor,0.03612398935330141,exclude_>2500
13945,769,742,0.0026584691230634736,Trivial Pursuit: 90's Time Capsule Edition,-1.119766203845625,eligible_<1700
13981,144,141,0.0005051807902317383,World in War: Combined Arms 1939-1945,0.013240624484504693,eligible_<1700
13995,135,92,0.00032962150851999943,La Bataille d'Espagnol-Talavera,0.051132789428787184,eligible_<1700
14010,112,112,0.00040127835819826015,Nonsense Classic,0.4511302350316573,eligible_<1700
14017,962,957,0.0034287802571047765,Oceania,-0.2650703798728111,eligible_<1700
14054,270,268,0.000960201785688694,Akaba,0.5865599733981641,eligible_<1700
14080,444,369,0.0013220688765639107,The Mighty Endeavor,0.35436975458977926,eligible_<1700
14083,571,529,0.0018953236739899966,Fire in the Sky: The Great Pacific War 1941-1945,0.3714727145394576,eligible_<1700
14134,391,381,0.0013650629863708671,My Dwarves Fly,-0.3229891522449009,eligible_<1700
14254,2344,2329,0.008344440145033464,PitchCar Mini,0.9176302941418655,borderline_1700-2500
14258,639,625,0.0022392765524456484,Blood Feud in New York,-0.5541169173676295,eligible_<1700
14441,251,247,0.0008849620935265202,Kinder Bunnies: Their First Adventure,0.1453627243390878,eligible_<1700
14535,490,460,0.001648107542599997,SPANC: Space Pirate Amazon Ninja Catgirls,-0.5635012278663885,eligible_<1700
14683,568,509,0.0018236668243117359,Men of Iron,-0.09764745926947338,eligible_<1700
14701,199,185,0.0006628258595239119,The Price of Freedom: The American Civil War 1861-1865,-0.4831366906885286,eligible_<1700
