game_id,title,year,n_obs,adj_mean,expected_Q3bFam,resid_Q3bFam,expected_Q4Fam,resid_Q4Fam,se_adj,lower_bound_adj,lower_bound_resid_Q3bFam,vol_band,hiddenness_bucket,fam_18XX,fam_Cooperative Game,fam_Legacy Game
63170,1817,2010.0,764,9.360258130891463,8.707875013351014,0.6523831175404489,8.688787913470843,0.6714702174206195,0.04317713450548739,9.275630947260709,0.5677559339096936,500-999,eligible,1.0,0.0,0.0
89952,Carcassonne: 10 Year Special Edition,2011.0,1698,7.720648580902868,6.854997606724464,0.8656509741784042,6.893759302809178,0.8268892780936898,0.028962206978001875,7.663882655225984,0.8088850485015205,1k-2.5k,eligible,0.0,0.0,0.0
92828,Dixit: Odyssey,2011.0,21146,7.588442463506621,6.751055751519846,0.8373867119867748,6.780721679227154,0.8077207842794669,0.008207036821277372,7.572356671336918,0.8213009198170712,10k-25k,exclude,0.0,0.0,0.0
94373,Dien Bien Phu: The Final Gamble,2014.0,256,8.682484796881457,7.56571975988107,1.1167650370003877,7.593166844994515,1.089317951886942,0.07458998386219969,8.536288428511545,0.9705686686304763,200-499,eligible,0.0,0.0,0.0
102151,Colorado Midland,2011.0,149,7.728605550899646,6.623875188699579,1.1047303622000673,6.760107650177154,0.9684979007224914,0.09777039316946254,7.536975580287499,0.9131003915879207,100-199,eligible,0.0,0.0,0.0
119637,Zug um Zug: Deutschland,2012.0,910,7.773935741652534,6.710767222131876,1.0631685195206577,6.762070499717522,1.0118652419350118,0.03956214220602658,7.696393942928721,0.9856267207968457,500-999,eligible,0.0,0.0,0.0
127493,Bolt Action,2012.0,637,7.936375748443059,7.522204271601931,0.414171476841128,7.614931972253663,0.3214437761893958,0.04728580421119867,7.843695572189109,0.32149130058717856,500-999,eligible,0.0,0.0,0.0
128271,Ginkgopolis,2012.0,8277,7.996824305093476,7.451262398096404,0.5455619069970723,7.46071923063624,0.536105074457236,0.013117891010063802,7.971113238713751,0.5198508406173472,5k-10k,exclude,0.0,0.0,0.0
131111,Codex: Card-Time Strategy – Deluxe Set,2016.0,1055,8.372303457816434,7.83066086693052,0.5416425908859139,7.858466400833262,0.5138370569831725,0.03674297066340358,8.300287235316164,0.4696263683856429,1k-2.5k,eligible,0.0,0.0,0.0
139131,Hoplomachus: Rise of Rome,2013.0,389,8.212705736298304,7.167597835453902,1.0451079008444015,7.340547537817626,0.8721581984806779,0.06050979689307838,8.09410653438787,0.9265086989339679,200-499,eligible,0.0,1.0,0.0
146207,Dead Man's Hand,2013.0,136,7.9825298601065695,6.881517137707325,1.1010127223992443,6.951926856172225,1.0306030039343446,0.1023366135853585,7.781950097479267,0.9004329597719416,100-199,eligible,0.0,0.0,0.0
146652,Legendary Encounters: An Alien Deck Building Game,2014.0,12921,7.993580322885686,7.347550271553091,0.6460300513325947,7.449867267527104,0.543713055358582,0.010499108712033248,7.973002069810101,0.6254517982570096,10k-25k,exclude,0.0,1.0,0.0
151771,La Cosa Nostra,2014.0,1784,7.898957527390872,7.3705981381547545,0.5283593892361171,7.333725578883952,0.5652319485069199,0.028255504814036964,7.84357673795536,0.4729785998006047,1k-2.5k,borderline,0.0,0.0,0.0
