game_id,title,flag,n_raters,n_raters_ge20_total,n_raters_ge20_other,penetration_ge20_total,penetration_ge20_other,penetration_ge10_total,penetration_ge10_other,total_enth_ge20,total_enth_ge10,missing_ge20_other,penetration_rank_ge20_other
17654,18GL,18XX,111,62,61,0.18397626112759644,0.18100890207715134,0.10215053763440861,0.0967741935483871,337,930,276,0.1111111111111111
816,2038: Tycoons of the Asteroid Belt,18XX,417,102,95,0.3026706231454006,0.2818991097922849,0.1827956989247312,0.17311827956989248,337,930,242,0.47530864197530864
28944,Harzbahn 1873,18XX,172,112,109,0.3323442136498516,0.32344213649851633,0.16021505376344086,0.16021505376344086,337,930,228,0.5864197530864198
29278,18Rhl: Rhineland,18XX,102,72,71,0.21364985163204747,0.21068249258160238,0.0978494623655914,0.0956989247311828,337,930,266,0.19135802469135801
31722,Steam over Holland,18XX,540,119,117,0.35311572700296734,0.34718100890207715,0.23010752688172043,0.22043010752688172,337,930,220,0.6419753086419753
116046,18NY,18XX,153,104,101,0.3086053412462908,0.2997032640949555,0.15053763440860216,0.14731182795698924,337,930,236,0.5246913580246914
193867,1822: The Railways of Great Britain,18XX,642,231,216,0.685459940652819,0.6409495548961425,0.4645161290322581,0.4344086021505376,337,930,121,0.8641975308641975
277538,1822MX,18XX,265,140,131,0.41543026706231456,0.3887240356083086,0.22795698924731184,0.2161290322580645,337,930,206,0.7037037037037037
423,1856: Railroading in Upper Canada from 1856,18XX,1328,241,226,0.7151335311572701,0.6706231454005934,0.5301075268817205,0.4956989247311828,337,930,111,0.9012345679012346
424,1870: Railroading Across the Trans Mississippi from 1870,18XX,1053,211,201,0.6261127596439169,0.5964391691394659,0.4559139784946237,0.42473118279569894,337,930,136,0.8271604938271605
7218,18VA,18XX,188,114,113,0.33827893175074186,0.3353115727002967,0.16344086021505377,0.16129032258064516,337,930,224,0.6049382716049383
7935,1844: Schweiz,18XX,212,119,115,0.35311572700296734,0.34124629080118696,0.1817204301075269,0.17526881720430107,337,930,222,0.6172839506172839
15999,1825 Unit 3,18XX,177,77,74,0.228486646884273,0.2195845697329377,0.12473118279569892,0.11935483870967742,337,930,263,0.24691358024691357
16000,1825 Unit 2,18XX,212,89,87,0.26409495548961426,0.258160237388724,0.13548387096774195,0.13010752688172042,337,930,250,0.37037037037037035
63170,1817,18XX,764,245,227,0.7270029673590505,0.6735905044510386,0.5129032258064516,0.4881720430107527,337,930,110,0.9135802469135802
87907,1865: Sardinia,18XX,191,78,76,0.2314540059347181,0.22551928783382788,0.13118279569892474,0.12473118279569892,337,930,261,0.2654320987654321
937,1825 Unit 1,18XX,306,104,100,0.3086053412462908,0.29673590504451036,0.1860215053763441,0.17634408602150536,337,930,237,0.5
2583,18GA,18XX,247,103,103,0.3056379821958457,0.3056379821958457,0.17634408602150536,0.16774193548387098,337,930,234,0.5493827160493827
17857,18Scan,18XX,269,134,126,0.39762611275964393,0.37388724035608306,0.22043010752688172,0.21505376344086022,337,930,211,0.6604938271604939
32424,1848: Australia,18XX,577,234,225,0.6943620178041543,0.6676557863501483,0.443010752688172,0.4258064516129032,337,930,112,0.8888888888888888
