game_id,title,year,n_obs,users_rated,weight,weight_missing,adj_mean,expected_Q3bFam,residual_Q3bFam,expected_Q3b,residual_Q3b,expected_Q4Fam,residual_Q4Fam,SE,lower_bound_adj,lower_bound_resid,vol_band,fam_18XX,fam_Cooperative Game,fam_Legacy Game,rank_residual
209136,Q.E.,2017.0,318,342.0,1.8333,0.0,7.994942579540181,6.731045632291844,1.2638969472483375,6.7610702008799475,1.2338723786602337,6.810818139044734,1.184124440495447,0.06692477747855446,7.863770015682214,1.1327243833903706,200-499,0.0,0.0,0.0,70
39336,Mégawatts,2008.0,441,463.0,3.0333,0.0,8.14642804889953,6.884388720284633,1.2620393286148968,6.942488727372783,1.2039393215267467,7.015449594643865,1.130978454255665,0.05683046389500929,8.035040339665311,1.1506516193806786,200-499,0.0,0.0,0.0,71
398162,MicroMacro: Crime City – Showdown,2023.0,452,813.0,1.0,0.0,8.274026909309363,7.0223735564075245,1.2516533529018385,6.954412857054651,1.3196140522547122,7.100988723175883,1.1730381861334802,0.0561346835132536,8.164002929623386,1.1416293732158616,200-499,0.0,1.0,0.0,72
359929,Hachi Train,2021.0,104,138.0,1.5,0.0,8.08936433351446,6.840239215644502,1.2491251178699585,6.843316663594303,1.2460476699201575,6.83929034597498,1.25007398753948,0.11702639484059296,7.8599925996268984,1.0197533839823962,100-199,0.0,0.0,0.0,73
3003,Crash Tackle Rugby Board Game,2001.0,149,172.0,2.4688,0.0,7.745019856594135,6.49926380207005,1.2457560545240849,6.521479721935872,1.223540134658263,6.621930583310256,1.1230892732838793,0.09777039316946254,7.553389885981988,1.0541260839119384,100-199,0.0,0.0,0.0,74
340216,Heredity: The Book of Swan,2023.0,176,725.0,2.55,0.0,8.627492692999917,7.3819375545997925,1.2455551384001247,7.344300836401445,1.2831918565984726,7.482639115981051,1.144853577018866,0.08995890530530207,8.451173238601525,1.0692356840017325,100-199,0.0,1.0,0.0,75
174458,Baseball Highlights: 2045 – Deluxe Edition,2015.0,545,565.0,2.28,0.0,8.15720858888965,6.917007675740196,1.2402009131494545,6.933755199819684,1.2234533890699666,6.96635335527443,1.1908552336152205,0.05112134183850362,8.057010758886184,1.1400030831459873,500-999,0.0,0.0,0.0,76
369509,Of What's Left,2023.0,117,155.0,2.0,0.0,8.542877580824095,7.307766693844899,1.2351108869791965,7.3158271788363205,1.2270504019877748,7.294605047839783,1.2482725329843127,0.11033354315946356,8.326623836231546,1.018857142386648,100-199,0.0,0.0,0.0,77
12608,Chess960,1996.0,158,201.0,3.3214,0.0,8.110360596352983,6.8773613229811446,1.2329992733718385,6.908554650522445,1.2018059458305377,6.886580533291072,1.223780063061911,0.09494496798099698,7.924268459110229,1.0469071361290845,100-199,0.0,0.0,0.0,78
135508,The Mushroom Eaters,2013.0,183,194.0,2.375,0.0,7.747835638972792,6.517909805883416,1.2299258330893759,6.547118044942499,1.2007175940302934,6.597895535679413,1.1499401032933791,0.08822160427375413,7.574921294596234,1.0570114887128177,100-199,0.0,0.0,0.0,79
158976,Ascension: Year One Collector's Edition,2015.0,433,460.0,2.2857,0.0,7.972375996145021,6.747604713858829,1.2247712822861923,6.768223571456188,1.204152424688833,6.855061267332536,1.1173147288124854,0.05735305386998055,7.859964010559859,1.1123592967010303,200-499,0.0,0.0,0.0,80
