game_id,n_obs,n_ref_raters,ref_penetration,title,resid_Q3bFam,hiddenness_bucket,hidden_bucket
42448,890,876,0.0031385700159078,We Didn't Playtest This Either,-0.0981393002327175,eligible_<1700,eligible_<1700
42487,4687,4679,0.0167641199822291,Lost Cities: The Board Game,0.3750801953851717,exclude_>2500,exclude_>2500
42490,750,748,0.0026799661779669,Pony Express,0.2395626176389917,eligible_<1700,eligible_<1700
42644,107,106,0.0003797813032947,Activity Junior,0.2208795138083523,eligible_<1700,eligible_<1700
42713,277,271,0.0009709503131404,Arcane Legions,-0.5980286223300961,eligible_<1700,eligible_<1700
54221,155,148,0.0005302606876191,Push Fight,0.8243830181965537,eligible_<1700,eligible_<1700
54559,101,100,0.0003582842483913,Bacchus,-1.0156743927325502,eligible_<1700,eligible_<1700
54625,6780,6670,0.0238975593676999,Space Hulk (Third Edition),-0.1332342908253716,exclude_>2500,exclude_>2500
55031,117,116,0.0004156097281339,Grand Slam,0.369419101870962,eligible_<1700,eligible_<1700
55165,521,519,0.0018594952491508,Bisikle,0.3239036854510475,eligible_<1700,eligible_<1700
55492,269,268,0.0009602017856886,MegaCorps,-0.4805214532480306,eligible_<1700,eligible_<1700
55601,961,959,0.0034359459420726,Sneaks & Snitches,0.2022153803013227,eligible_<1700,eligible_<1700
55670,7511,7508,0.026899981369219,Macao,0.2344517690655179,exclude_>2500,exclude_>2500
64675,471,471,0.001687518809923,Schweinebande,0.2506780688950689,eligible_<1700,eligible_<1700
64875,215,209,0.0007488140791378,Yahtzee Hands Down Card Game,-0.959964306311088,eligible_<1700,eligible_<1700
64955,125,125,0.0004478553104891,Hexenflug,0.0301394733429418,eligible_<1700,eligible_<1700
68943,135,135,0.0004836837353282,Aether,-0.3276010942658782,eligible_<1700,eligible_<1700
69136,219,192,0.0006879057569113,"Bloody April, 1917: Air War Over Arras, France",-0.5164643333533689,eligible_<1700,eligible_<1700
69175,103,103,0.000369032775843,Wobble,-0.640995006493843,eligible_<1700,eligible_<1700
69356,217,216,0.0007738939765252,Kalua,-0.474843395452341,eligible_<1700,eligible_<1700
70097,188,186,0.0006664087020078,Arriala: Canal de Garonne,0.1555599352830414,eligible_<1700,eligible_<1700
71882,1688,1667,0.005972598420683,Conquest of Planet Earth: The Space Alien Game,0.2166918594312807,eligible_<1700,eligible_<1700
71973,806,805,0.0028841881995499,Crows,-0.0459671593385699,eligible_<1700,eligible_<1700
72132,534,531,0.0019024893589578,Dragon Rampage,-0.0431534847717598,eligible_<1700,eligible_<1700
72225,3909,3907,0.0139981655846482,CO₂,-0.2551961880071003,exclude_>2500,exclude_>2500
