game_id,title,pass6_p80_outcome,pass7_final_outcome,direction,eligibility_flag_final,reason_final
351113,KeyForge: Winds of Exchange,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,family-title overlap 'Game: KeyForge' eco 6 token 'keyfor' in title 'KeyForge: Winds of Exchange' + not canonical base (
355997,Thunder Road: Vendetta – Maximum Chrome,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,"contained_in target of 342070 (Thunder Road: Vendetta) via game_links contained_in but no Game: family, title 'Thunder R"
359612,Trick Shot (Second Edition),strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,edition_title 'Trick Shot (Second Edition)' contains edition pattern but no version/contained_in link and no Game: famil
360366,Tainted Grail: Kings of Ruin,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,family-title overlap 'Game: Tainted Grail' eco 2 token 'tainte' in title 'Tainted Grail: Kings of Ruin' + not canonical 
360956,"Suspects: Claire Harper, Eternal Investigator",strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
363625,Fateforge: Chronicles of Kaan,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
364655,Kinfire Chronicles: Night's Fall,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
366748,Northgard: Uncharted Lands – Warchief Collector Edition,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,size/edition variant 'Northgard: Uncharted Lands – Warchief Collector Edition' stripped base 'Northgard: Uncharted Lands
373835,Unlock! Kids: Stories from the Past,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,base-title duplicate variant 'Unlock! Kids: Stories from the Past' shares prefix 'unlock! kids' with 2 games in pool (e.
380175,Halloween,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
380707,Vindication: Archive of the Ancients,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
382035,Cursed!?,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,"container-like 'Cursed!?' via title pattern Collection/Arcade/Box + families ['Containers: Mint Tins', 'Creatures: Monst"
385325,Skytear Horde: Monoliths,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
386538,Astro Knights: Eternity,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
387144,R-ECO+,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
390173,Mindbug: Beyond Evolution,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,family-title overlap 'Game: Mindbug' eco 3 token 'mindbu' in title 'Mindbug: Beyond Evolution' + not canonical base (max
392513,Mindbug: Beyond Eternity,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,family-title overlap 'Game: Mindbug' eco 3 token 'mindbu' in title 'Mindbug: Beyond Eternity' + not canonical base (max 
410209,Hitster: Summer Party,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,"base-title duplicate variant 'Hitster: Summer Party' shares prefix 'hitster' with 3 games in pool (e.g., group max n_obs"
20,Full Metal Planète,pass2_not_strong_or_not_in_pool,strong_hidden_gem_evidence,gained_vs_pass2_39,eligible,new pool P80 includes lower resid 0.403-0.75 range; not in original 532 pool
384,TurfMaster,pass2_not_strong_or_not_in_pool,strong_hidden_gem_evidence,gained_vs_pass2_39,eligible,new pool P80 includes lower resid 0.403-0.75 range; not in original 532 pool
541,Das Motorsportspiel,pass2_not_strong_or_not_in_pool,strong_hidden_gem_evidence,gained_vs_pass2_39,eligible,new pool P80 includes lower resid 0.403-0.75 range; not in original 532 pool
756,Black Vienna,pass2_not_strong_or_not_in_pool,strong_hidden_gem_evidence,gained_vs_pass2_39,eligible,new pool P80 includes lower resid 0.403-0.75 range; not in original 532 pool
1803,Zopp,pass2_not_strong_or_not_in_pool,strong_hidden_gem_evidence,gained_vs_pass2_39,eligible,new pool P80 includes lower resid 0.403-0.75 range; not in original 532 pool
2125,Amazons,pass2_not_strong_or_not_in_pool,strong_hidden_gem_evidence,gained_vs_pass2_39,eligible,new pool P80 includes lower resid 0.403-0.75 range; not in original 532 pool
2251,Strat-O-Matic Baseball,pass2_not_strong_or_not_in_pool,strong_hidden_gem_evidence,gained_vs_pass2_39,eligible,new pool P80 includes lower resid 0.403-0.75 range; not in original 532 pool
3406,Lines of Action,pass2_not_strong_or_not_in_pool,strong_hidden_gem_evidence,gained_vs_pass2_39,eligible,new pool P80 includes lower resid 0.403-0.75 range; not in original 532 pool
4079,What's My Word?,pass2_not_strong_or_not_in_pool,strong_hidden_gem_evidence,gained_vs_pass2_39,eligible,new pool P80 includes lower resid 0.403-0.75 range; not in original 532 pool
5217,Eleusis,pass2_not_strong_or_not_in_pool,strong_hidden_gem_evidence,gained_vs_pass2_39,eligible,new pool P80 includes lower resid 0.403-0.75 range; not in original 532 pool
