debiased_rank,debiased_rating,title,year,bgg_rank,geek_rating,avg_rating,voters,game_id,base_game,weight,weight_votes,mfg_playtime,mfg_age_rec,best_players,kickstarted,is_reimplementation,num_implementations,abstract_rank,cgs_rank,childrens_rank,family_rank,party_rank,strategy_rank,thematic_rank,war_rank
24261,4.604119712862437,Brain Quest,1993.0,26189.0,5.48,4.55,48.0,11167,1,1.2,5.0,60.0,6.0,0.0,0.0,0.0,0.0,,,624,,,,,
24262,4.604025358703947,The All Canadian Trivia Board Game,1997.0,25734.0,5.485,4.62,33.0,11822,1,1.0,1.0,60.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,
24263,4.603934568591969,Emperor's Challenge,1986.0,26222.0,5.48,4.59,41.0,2547,1,1.6,5.0,60.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,
24264,4.603259478329735,Storm the Castle!,2013.0,27344.0,5.448,4.71,150.0,101988,1,3.3846,13.0,90.0,8.0,0.0,1.0,0.0,0.0,,,,,,,,
24265,4.602874384436138,Roman Taxi,2009.0,26442.0,5.478,4.43,48.0,36228,1,1.3333,6.0,45.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
24266,4.600039726556144,The Game of Authors,1861.0,27694.0,5.388,4.52,268.0,11670,1,1.0323,31.0,15.0,7.0,0.0,0.0,0.0,1.0,,,834,,,,,
24267,4.599640973629203,Goal 10,2019.0,26711.0,5.471,4.49,67.0,315534,1,,,,,,,,,,,,,,,,
24268,4.598965801336717,Borodino: Doomed Victory,1990.0,27211.0,5.455,4.37,85.0,6020,1,3.2,10.0,240.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,3523
24269,4.598653680803927,Sin City,2005.0,26837.0,5.469,4.56,78.0,17819,1,1.5,10.0,60.0,18.0,0.0,0.0,0.0,0.0,,,,,,,,
24270,4.59763380889307,Dinomeal,2010.0,25915.0,5.483,4.52,39.0,85995,1,1.0,1.0,20.0,5.0,0.0,0.0,0.0,0.0,,,,,,,,
