game_id,title,year,n_obs,users_rated_pop,rank_current,bayes_rating,raw_mean,adj_mean,se,post_sd,z,lb_adj,lb_adj_post,resid_lb,expected_quality_pref,underratedness_pref,underratedness_cv_pref,underratedness_wls_pref,underratedness_ols_Q3,underratedness_wls_Q3,min_alt_resid,cv_diff,n_decile,n_tertile,vol_band_label,year_flag,is_reimplementation,reimplements_name,num_weights,weight,playing_time,cat_count,cat_str,mech_count,mech_str,mean_delta_pool,share_heavy_500plus,share_heavy_250plus,share_light_10_24,share_own,chi2_volume_band,screening_disposition,reason
9629,Gnostica,2001.0,124,129.0,10821.0,5.57767,7.032258064516129,7.4959742848584545,0.107230661225791,0.10641393528714452,6.217560408398248,7.285802188855905,7.287402971695651,0.45654101780129297,6.829261171054611,0.6667131138038433,0.6716992715342132,0.6595839146469791,0.6207043507453847,0.719636654336373,0.6207043507453847,0.004986157730369811,D2,low,100-199,2000-2019,False,,20.0,3.3,60.0,4,Abstract Strategy; Card Game; Print & Play; Territory Building,3,Area Majority / Influence; Modular Board; Tile Placement,-0.4637162203423275,0.2419354838709677,0.4193548387096774,0.032258064516129,0.6532258064516129,3.867954395777201,broad_positive_gt02,broad pool resid>0.2 — resid 0.67 n=124 SE 0.107 z=6.2 min_alt 0.62
374336,Trick Raiders,2022.0,111,153.0,9586.0,5.59841,7.1018018018018,7.89498851143834,0.11333611908307048,0.11237307702961635,5.8785656796298,7.672849718035522,7.674737280460292,0.4441150265013559,7.228734691534166,0.6662538199041741,0.673885886920468,0.6436704504867787,0.6017044441712569,0.7041945189675118,0.6017044441712569,0.007632067016293931,D2,low,100-199,2020-2024,False,,2.0,2.0,30.0,1,Card Game,1,Trick-taking,-0.7931867096365385,0.5945945945945945,0.8738738738738738,0.009009009009009,0.3783783783783784,159.7534971677644,broad_positive_gt02,broad pool resid>0.2 — resid 0.67 n=111 SE 0.113 z=5.9 min_alt 0.60
11091,Leuthen: Frederick's Greatest Victory,1997.0,105,111.0,9618.0,5.59779,8.073809523809524,8.126918277483027,0.11652931058457126,0.11548331344684055,5.717396827484412,7.898520828737267,7.900570983127219,0.43784686189941374,7.460673966837853,0.6662443106451734,0.6642021708458206,0.894800298914948,0.668239821039716,0.9694680949329619,0.6642021708458206,0.00204213979935286,D2,low,100-199,pre2000,False,,15.0,4.0,360.0,2,Age of Reason; Wargame,3,Dice Rolling; Hexagon Grid; Simulation,-0.0531087536735035,0.1619047619047618,0.4285714285714285,0.0476190476190476,0.7904761904761904,7.831209568226502,broad_positive_gt02,broad pool resid>0.2 — resid 0.67 n=105 SE 0.117 z=5.7 min_alt 0.66
585,Kardinal,2000.0,136,141.0,12391.0,5.55898,6.562500000000001,6.975653392739949,0.10239066707160649,0.10167890069206532,6.50429420977338,6.7749676852796,6.7763627473835015,0.4652933155083352,6.309674369771265,0.6659790229686839,0.6798285535676714,0.5779368013812549,0.6201902336341494,0.60829551235918,0.5779368013812549,0.013849530598987414,D3,low,100-199,2000-2019,False,,12.0,2.1667,20.0,1,Abstract Strategy,1,Tile Placement,-0.4131533927399489,0.6323529411764706,0.7867647058823529,0.0073529411764705,0.5367647058823529,227.25865788268695,broad_positive_gt02,broad pool resid>0.2 — resid 0.67 n=136 SE 0.102 z=6.5 min_alt 0.58
4270,The Far Seas,1987.0,138,151.0,10303.0,5.58571,7.058333333333333,7.307019654651576,0.10164599779178646,0.10094954339058398,6.547877732317293,7.1077934989796745,7.109158549606032,0.46633940984810973,6.641454089131565,0.6655655655200112,0.6759000023701169,0.8196300810217618,0.6110315680674212,0.8607680715795745,0.6110315680674212,0.01033443685010571,D3,low,100-199,pre2000,False,,23.0,2.4348,180.0,3,Nautical; Wargame; World War I,5,Area Movement; Dice Rolling; Hidden Movement; Paper-and-Pencil; Simultaneous Action Selection,-0.2486863213182424,0.2318840579710145,0.4420289855072463,0.036231884057971,0.8188405797101449,9.245730900813744,broad_positive_gt02,broad pool resid>0.2 — resid 0.67 n=138 SE 0.102 z=6.5 min_alt 0.61
2189,Pfusch,1992.0,130,131.0,16195.0,5.5328,6.171615384615384,6.57157071870141,0.10472687641443353,0.103965635113523,6.351873011008518,6.36630604092912,6.367798073878904,0.4599471420517751,5.906358898877345,0.6652118198240649,0.6707101527521724,0.6799221135195177,0.6225135318862929,0.6945830584304717,0.6225135318862929,0.00549833292810753,D3,low,100-199,pre2000,False,,13.0,1.5385,30.0,2,Bluffing; City Building,0,,-0.3999553340860265,0.5,0.7538461538461538,0.0076923076923076,0.5153846153846153,162.98161735690638,broad_positive_gt02,broad pool resid>0.2 — resid 0.67 n=130 SE 0.105 z=6.4 min_alt 0.62
193327,The Golden Sails,2016.0,177,176.0,10345.0,5.58518,6.708870056497172,7.175279487112375,0.08975180540991744,0.08927126046210812,7.41167129850479,6.999365948508937,7.000307816606643,0.4892973415422338,6.510068606966703,0.665210880145672,0.6622303157627698,0.5496653878635076,0.5969397592752843,0.5380921968296626,0.5380921968296626,0.0029805643829021733,D4,low,100-199,2000-2019,False,,5.0,1.8,35.0,3,Card Game; Fantasy; Nautical,3,Memory; Open Drafting; Set Collection,-0.4664094306151991,0.4124293785310734,0.5819209039548022,0.0225988700564971,0.4519774011299435,83.30833913842756,broad_positive_gt02,broad pool resid>0.2 — resid 0.67 n=177 SE 0.090 z=7.4 min_alt 0.54
143509,Bluff in Zoo,2013.0,126,132.0,15299.0,5.53743,6.277063492063492,6.789948024325012,0.10637622002949199,0.10557871831558467,6.239842921195299,6.581450633067208,6.583013736426466,0.45527351227673485,6.126177120790473,0.6637709035345392,0.6782365782289617,0.6837341976423854,0.6445077879762184,0.7205358227032033,0.6445077879762184,0.014465674694422503,D2,low,100-199,2000-2019,False,,10.0,1.1,20.0,3,Animals; Bluffing; Card Game,0,,-0.512884532261521,0.626984126984127,0.8095238095238095,0.0158730158730158,0.3253968253968254,218.89065516262409,broad_positive_gt02,broad pool resid>0.2 — resid 0.66 n=126 SE 0.106 z=6.2 min_alt 0.64
22863,Luck of the Draw,2006.0,154,169.0,12367.0,5.55924,6.477448051948051,6.593829526769759,0.09622091139657647,0.0956294951911531,6.884349615179264,6.405236540432469,6.406395716195099,0.47382540800792944,5.9314111324245395,0.6624183943452193,0.6712935219033431,0.39323672653431085,0.6055624851702719,0.406976750488222,0.39323672653431085,0.008875127558123808,D3,low,100-199,2000-2019,False,,15.0,1.1333,30.0,1,Party Game,3,Line Drawing; Paper-and-Pencil; Voting,-0.1163814748217017,0.2987012987012987,0.487012987012987,0.0714285714285714,0.551948051948052,15.153404327082772,broad_positive_gt02,broad pool resid>0.2 — resid 0.66 n=154 SE 0.096 z=6.9 min_alt 0.39
87907,1865: Sardinia,2011.0,191,202.0,7633.0,5.64767,7.352670157068063,7.987004304871604,0.08639988073417829,0.08597093815514846,7.663305916594142,7.817660538632615,7.818501266087513,0.49276495098426726,7.3248955876483475,0.6621087172232567,0.6653091381880429,0.6166351334858469,0.569656574329704,0.589051661111947,0.569656574329704,0.0032004209647862325,D4,mid,100-199,2000-2019,False,,20.0,3.85,240.0,3,Economic; Trains; Transportation,4,Auction / Bidding; Network and Route Building; Stock Holding; Tile Placement,-0.6343341478035412,0.4973821989528796,0.7277486910994765,0.0209424083769633,0.4554973821989528,136.71962290368563,broad_positive_gt02,broad pool resid>0.2 — resid 0.66 n=191 SE 0.086 z=7.7 min_alt 0.57
