game_id,title,year,weight,min_players,max_players,families,designers,n_obs,adj_mean,resid_Q3bFam,n_version_tgt,n_contained_tgt,decision,reason,evidence,confidence
539,Dampfross,1979.0,2.175,2.0,6.0,"[""Components: Map (Continental / National scale)"", ""Game: Railway Rivals""]","[""David G. Watts""]",867,6.605160742319737,0.2079644143004548,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 460:Railway Rivals + families ['Components: Map (Continental / National scale)', 'Game: Railway Rivals']",high
712,Blood Bowl (Third Edition),1994.0,2.9896,2.0,2.0,"[""Components: Polyhedral (not D6) dice"", ""Digital Implementations: Steam"", ""Game: Blood Bowl"", ""Players: Two-Player Only Games"", ""Series: Specialist Games (Games Workshop)"", ""Setting: Warhammer Fantasy Board Games"", ""Theme: Fantasy Sports""]","[""Jervis Johnson""]",5430,7.800170454007821,0.284955414713588,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 2288:Blood Bowl (Second Edition) + families ['Components: Polyhedral (not D6) dice', 'Digital Implementations: Steam']",high
769,Star Trek Red Alert!,2000.0,2.3333,2.0,8.0,"[""Admin: Game System Entries"", ""Collectible: Collectible Token Games"", ""TV Shows: Star Trek (various)""]","[""Matthew Colville"", ""Christian T. Petersen"", ""Darrell Hardy"", ""Christian Moore""]",106,6.559610849513243,0.5942941827893033,0,0,hard_exclude,game_system_container,families Admin: Game System Entries; game_links contained_in target 0.0>0 via [],high
1038,Tantrix,1991.0,2.2209,1.0,6.0,"[""Components: Hexagonal Tiles"", ""Containers: Drawstring Bag"", ""Containers: Unique Shape"", ""Containers: Zippered Pouch"", ""Misc: LongPack Games"", ""Players: Games with Solitaire Rules"", ""Versions & Editions: More-Player Versions of Two-Player Games""]","[""Mike McManaway""]",2179,6.551540537595976,-0.1325030682131061,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 21611:The Mind Game + families ['Components: Hexagonal Tiles', 'Containers: Drawstring Bag']",high
1310,Auf Achse: Das Kartenspiel,1995.0,1.7273,2.0,5.0,"[""TV Shows: Auf Achse"", ""Versions & Editions: Card Versions of Non-Card Games""]","[""Wolfgang Kramer""]",107,6.214243130808478,0.5226866349481254,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 110:Auf Achse + families ['TV Shows: Auf Achse', 'Versions & Editions: Card Versions of Non-Card Games']",high
1333,Boom-O,2000.0,1.16,2.0,6.0,"[""Digital Implementations: VASSAL"", ""Game: UNO""]","[""(Uncredited)""]",689,5.42127601760124,-0.6880188409137897,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 1961:5 Alive + families ['Digital Implementations: VASSAL', 'Game: UNO']",high
1421,Lost Worlds,1983.0,1.6905,2.0,2.0,"[""Admin: Game System Entries"", ""Category: Two-Player Fighting Games"", ""Misc: No Table Needed"", ""Players: Two-Player Only Games"", ""Series: Lost Worlds (Nova Game Designs)"", ""Series: Picture Book Games (Nova Game Designs)"", ""Theme: Medieval Fantasy""]","[""Michael Stackpole"", ""Paul S. Weintraub"", ""Mary Leonardi"", ""C. Lacefield"", ""Alfred Leonardi""]",439,6.850177785626989,0.8805144883402329,0,0,hard_exclude,game_system_container,families Admin: Game System Entries; game_links contained_in target 0.0>0 via [],high
1431,War at Sea (Second Edition),1976.0,1.9562,2.0,2.0,"[""Country: France"", ""Country: Germany"", ""Country: United Kingdom"", ""Game: War at Sea"", ""Players: Two-Player Only Games"", ""Players: Wargames with Rules Supporting Only Two Players"", ""Series: War at Sea Like Games"", ""War Battlespace: Naval warfare"", ""War Level of Command: Strategic""]","[""John Edwards""]",1027,6.777137418395248,-0.1354368385312971,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 32234:The War At Sea + families ['Country: France', 'Country: Germany']",high
1436,Billionaire,1973.0,1.3636,2.0,4.0,"[""Admin: Better Description Needed!"", ""Mechanism: Circuit-Based Trading Games""]","[""Marvin Glass""]",304,5.32532280783997,-0.4108955785057828,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 865:Landslide + families ['Admin: Better Description Needed!', 'Mechanism: Circuit-Based Trading Games']",high
2570,Atlantic Star,2001.0,2.1416,2.0,6.0,"[""Theme: Art style \u2013 Art Deco""]","[""Dirk Henn""]",1780,7.269713891734438,0.483366009327578,0,0,hard_exclude,reimplementation_remake,is_reimplementation True via game_links reimplements 73:Show Manager + families ['Theme: Art style – Art Deco'],high
