game_id,title,year,n_obs,users_rated_pop,rank_current,weight,cat_str,adj_mean,se,post_sd,z,lb_adj,lb_adj_post,lower_1,lower_1_96,lower_post_1_96,expected_quality_pref,underratedness_pref,min_alt_resid,n_decile,vol_band_label,gate_adj_ge_7_0,gate_adj_ge_7_3,gate_adj_ge_7_5,gate_adj_ge_7_6,gate_adj_ge_7_8,gate_adj_ge_8_0,gate_adj_ge_p50,gate_adj_ge_p75,gate_adj_ge_p90,gate_lower196_ge_6_8,gate_lower196_ge_7_0,gate_lower196_ge_7_2,gate_lower1_ge_7_0,gate_lower1_ge_7_2,gate_lower_post196_ge_7_0,gate_adj75_and_lower196_70,gate_adj73_and_lower196_70,gate_adj_p75_and_lower196_70,gate_adj75_and_lower1_70
184866,Wings for the Baron (Second Edition),2015.0,298,315.0,6074.0,2.4211,Aviation / Flight; Industry / Manufacturing; World War I,7.954422753023588,0.06917062416354874,0.0689499324407979,14.580696965910914,7.818848329663032,7.819280885439624,7.885252128860039,7.818848329663032,7.819280885439624,6.945866843151968,1.0085559098716192,0.9381937359134493,D6,200-499,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
418470,Endeavor: Deep Sea Deluxe Edition,2024.0,322,1045.0,,2.8824,Environmental; Exploration; Nautical,8.902125037616546,0.06654292556716794,0.06634637177916371,15.131723359212879,8.771700903504897,8.772086148929386,8.835582112049378,8.771700903504897,8.772086148929386,7.895215896421467,1.006909141195079,0.8594113896878302,D6,200-499,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75360,Texas & Pacific,2010.0,224,257.0,7875.0,2.7895,American West; Economic; Trains,7.85785402786632,0.07978216502211899,0.07944405879216679,12.602443887338945,7.701480984422966,7.702143672633673,7.7780718628442,7.701480984422966,7.702143672633673,6.852403769964649,1.0054502579016704,0.8816772165933058,D5,200-499,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
125943,Corporate America,2013.0,482,524.0,5109.0,2.1562,Economic; Humor; Political,7.5635230948815755,0.05438840307760661,0.054280921666769656,18.45756938815531,7.456921824849466,7.4571324884147066,7.509134691803969,7.456921824849466,7.4571324884147066,6.559645371165692,1.0038777237158838,0.9047275802806416,D7,200-499,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
245422,Werewords Deluxe Edition,2018.0,2097,2425.0,1288.0,1.3125,Bluffing; Deduction; Fantasy; Party Game; Real-time; Word Game,7.876358202039535,0.02607537791040242,0.02606350660537333,38.411364019895146,7.825250461335147,7.825273729093003,7.850282824129133,7.825250461335147,7.825273729093003,6.874767369166735,1.0015908328728003,0.9693125524973647,D9,1k-2.5k,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
204801,Kneipenquiz: Das Original,2016.0,1026,1191.0,2622.0,1.3889,Humor; Party Game; Trivia,7.700865211714493,0.03727830405052197,0.037243641089290784,26.809676936512254,7.62779973577547,7.627867675179483,7.663586907663971,7.62779973577547,7.627867675179483,6.701445923378923,0.9994192883355701,1.0136081228639924,D8,1k-2.5k,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
371433,Terrorscape,2023.0,1386,3573.0,601.0,2.2708,Horror; Movies / TV / Radio theme,8.441308656716403,0.032073637132192155,0.03205155204196583,31.13529761715692,8.378444327937308,8.37848761471415,8.40923501958421,8.378444327937308,8.37848761471415,7.442686418940905,0.9986222377754981,0.8398049373913477,D9,1k-2.5k,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47046,Gambit 7,2008.0,640,659.0,5293.0,1.0571,Party Game; Trivia,7.122733546919695,0.047199765353927545,0.04712946593967389,21.147611347552772,7.030222006825997,7.030359793677934,7.075533781565767,7.030222006825997,7.030359793677934,6.124571253519148,0.9981622934005463,0.7772457699302189,D7,500-999,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0
363622,The Castles of Burgundy: Special Edition,2023.0,7544,12010.0,,2.8382,Dice; Medieval; Territory Building,9.37409384919825,0.013747666454149009,0.013745925818944335,72.58916182050044,9.347148422948118,9.347151834593118,9.3603461827441,9.347148422948118,9.347151834593118,8.376162264303762,0.9979315848944879,0.9709061329270625,D10,5k-10k,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
364405,Carcassonne Big Box 7,2021.0,602,1381.0,,1.9615,City Building; Medieval; Territory Building,8.267113700465906,0.04866666441565234,0.048589615643777465,20.423405891600304,8.171727038211227,8.171878053804102,8.218447036050254,8.171727038211227,8.171878053804102,7.273174659714737,0.9939390407511688,0.9113334105134712,D7,500-999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63778,Word on the Street Junior,2010.0,201,210.0,9217.0,1.125,Children's Game; Educational; Word Game,7.015456171459242,0.08422321159534024,0.08382573112327095,11.79534260268917,6.850378676732375,6.851157738457631,6.931232959863902,6.850378676732375,6.851157738457631,6.022014535593421,0.9934416358658211,0.950099271844838,D4,200-499,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
26148,Affentennis,2006.0,207,211.0,8167.0,1.5714,Action / Dexterity; Sports,7.410357236516942,0.08299360966198083,0.08261320717401617,11.938330246722407,7.24768976157946,7.24843535045587,7.327363626854962,7.24768976157946,7.24843535045587,6.419552116004644,0.9908051205122987,0.8410764582894021,D4,200-499,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0
36424,"Gulf, Mobile & Ohio",2008.0,525,588.0,4518.0,2.8261,Economic; Trains,8.012646734478684,0.05211349196765742,0.05201891827457892,18.959051846484254,7.910504290222076,7.910689654660509,7.960533242511027,7.910504290222076,7.910689654660509,7.024624338362527,0.9880223961161576,0.8445545929865705,D7,500-999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
366,Viva Pamplona!,1992.0,443,467.0,7689.0,1.3774,Racing,6.895753536209425,0.05673198292287566,0.056610032001929406,17.39753327435369,6.784558849680589,6.784797873485644,6.83902155328655,6.784558849680589,6.784797873485644,5.908756975588631,0.9869965606207947,0.7970455194167654,D7,200-499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4205,On to Richmond!,1998.0,226,237.0,6077.0,3.3333,American Civil War; Wargame,8.302188931812749,0.07942836210354509,0.07909471532232966,12.411604149215785,8.1465093420898,8.147163289780982,8.222760569709203,8.1465093420898,8.147163289780982,7.316355543162975,0.9858333886497741,0.9681832489390176,D5,200-499,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
324344,Twinkle Starship,2020.0,264,331.0,6256.0,1.7778,Card Game; Science Fiction,7.958033691386667,0.07348993498540846,0.07322542793264306,13.379035068329204,7.813993418815267,7.814511852638687,7.884543756401259,7.813993418815267,7.814511852638687,6.974809274047654,0.983224417339013,0.9049520101302377,D5,200-499,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
149910,Six Making,2013.0,246,290.0,6792.0,1.7895,Abstract Strategy,7.609388895880708,0.07613112948498164,0.07583718239119763,12.90683577882003,7.460171882090144,7.460748018393961,7.533257766395726,7.460171882090144,7.460748018393961,6.626776909961967,0.9826119859187417,0.8895564417118988,D5,200-499,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
215616,Ascension: Gift of the Elements,2017.0,483,519.0,4341.0,2.125,Card Game; Fantasy,7.841967778239953,0.05433207121052079,0.054224922762894624,18.07433961837665,7.735476918667332,7.73568692962468,7.787635707029432,7.735476918667332,7.73568692962468,6.8599514710111755,0.9820163072287773,0.8843751090633427,D7,200-499,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
66126,Mystery Rummy: Escape from Alcatraz,2009.0,418,430.0,6002.0,1.381,Card Game; Print & Play,7.213406756398476,0.05840387808406793,0.058270850235110555,16.791277171813814,7.098935155353703,7.0991958899376595,7.155002878314408,7.098935155353703,7.0991958899376595,6.232731051580069,0.9806757048184069,0.7794702724432021,D6,200-499,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0
200247,Austerlitz 1805: Rising Eagles,2016.0,256,309.0,5099.0,3.0909,Napoleonic; Wargame,8.60456413143851,0.07462938177195727,0.07435242625369795,13.139412619318831,8.458290543165473,8.458833375981262,8.529934749666552,8.458290543165473,8.458833375981262,7.623977890812092,0.9805862406264181,0.9621684490615197,D5,200-499,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4637,Max,1986.0,482,522.0,7368.0,1.1132,Animals; Children's Game; Racing,6.58838379454424,0.05438840307760661,0.054280921666769656,18.021035288523827,6.4817825245121305,6.481993188077371,6.533995391466633,6.4817825245121305,6.481993188077371,5.608248463396233,0.9801353311480065,0.887086133521616,D7,200-499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1498,Paydirt,1970.0,467,513.0,5808.0,2.2453,Dice; Sports,7.161876559858411,0.0552549749454947,0.0551422844536236,17.727137128781425,7.053576808965241,7.053797682329308,7.106621584912916,7.053576808965241,7.053797682329308,6.182364041952244,0.9795125179061666,0.8811873059206645,D7,200-499,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0
10550,Big Boggle,1979.0,1618,1738.0,2946.0,1.5,Real-time; Word Game,7.122662960947749,0.029685240238977558,0.029667728045089103,32.92082859932301,7.064479890079353,7.064514213979375,7.092977720708771,7.064479890079353,7.064514213979375,6.145400255110642,0.9772627058371066,0.9459942882354992,D9,1k-2.5k,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0
189190,9 Lives,2015.0,852,1158.0,3098.0,1.5217,Animals; Card Game,7.6954469258665315,0.04090816784924297,0.040862374367673815,23.865721701367836,7.615266916882015,7.615356672105891,7.654538758017289,7.615266916882015,7.615356672105891,6.719143976663656,0.9763029492028759,0.890997176024789,D8,500-999,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
186375,Tokaido: Deluxe Edition,2015.0,1105,1270.0,,1.6667,Travel,7.866678971651128,0.03592102226293946,0.03589000620630937,27.17047494899056,7.796273768015767,7.796334559486762,7.830757949388189,7.796273768015767,7.796334559486762,6.890687736113799,0.9759912355373288,0.8910432545978697,D8,1k-2.5k,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
180543,"Exceed: Red Horizon – Reese, Heidi, Nehtali, and Vincent",2016.0,218,234.0,7002.0,2.2667,Card Game; Fighting,7.950862618629072,0.08087263243725189,0.08052053359872066,12.056193159683412,7.792352259052058,7.79304237277558,7.86998998619182,7.792352259052058,7.79304237277558,6.975846540633485,0.975016077995587,0.9625731104531692,D5,200-499,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
267304,Mega Empires: The West,2019.0,366,472.0,3844.0,3.2222,Ancient; Bluffing; City Building; Civilization; Economic; Memory; Mythology; Nautical; Negotiation; Pirates; Political; Prehistoric; Real-time; Territory Building,8.654935243872105,0.06241504441685287,0.06225276076499692,15.605118670829654,8.532601756815072,8.532919832772711,8.592520199455253,8.532601756815072,8.532919832772711,7.680941068902012,0.9739941749700929,0.859676586634337,D6,200-499,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
274075,The Quest Kids,2021.0,306,439.0,5708.0,1.0556,Adventure; Children's Game; Exploration; Fantasy,7.507010971932951,0.06826044471440433,0.06804832424173035,14.254450749096561,7.373220500292719,7.37363625641916,7.438750527218547,7.373220500292719,7.37363625641916,6.533995824640046,0.9730151472929052,0.9012590524426587,D6,200-499,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1
336755,King of Tokyo: Monster Box,2021.0,1226,1760.0,,1.4286,Dice; Fighting; Movies / TV / Radio theme; Science Fiction,7.810779955363167,0.034102372313921145,0.034075829326832695,28.51785725752479,7.743939305627882,7.743991329882575,7.7766775830492465,7.743939305627882,7.743991329882575,6.838253369571799,0.9725265857913685,0.7721693529808116,D9,1k-2.5k,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
31790,"Crusade and Revolution: The Spanish Civil War, 1936-1939",2013.0,546,632.0,2711.0,3.3286,Civil War; Wargame,8.815376528973973,0.05110148316625884,0.051012303511929896,18.923719606874585,8.715217621968105,8.71539241409059,8.764275045807715,8.715217621968105,8.71539241409059,7.848346390040269,0.9670301389337039,0.9726143594598042,D7,500-999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
208428,"No Thank You, Evil!",2016.0,327,379.0,5797.0,1.7,Children's Game; Fantasy,7.475752618624084,0.06603222787564088,0.06584015192507317,14.634694864063729,7.346329451987828,7.346705920850941,7.4097203907484435,7.346329451987828,7.346705920850941,6.509391112469757,0.9663615061543274,0.9411561901499885,D6,200-499,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0
218933,Warhammer Quest: Shadows Over Hammerhal,2017.0,230,267.0,7218.0,2.0,Adventure; Dice; Exploration; Fantasy; Fighting; Miniatures,7.722600635145962,0.07873465133124496,0.07840963485980895,12.26693886583287,7.568280718536722,7.568917750820737,7.643865983814718,7.568280718536722,7.568917750820737,6.756767480642914,0.9658331545030485,0.9716497561087447,D5,200-499,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
317519,Frostgrave: Second Edition,2020.0,302,400.0,4080.0,2.625,Book; Fantasy; Miniatures; Wargame,8.637838342418666,0.06871101359750442,0.06849467822912214,14.039090348567077,8.503164755767557,8.503588773089588,8.569127328821162,8.503164755767557,8.503588773089588,7.673198214581681,0.9646401278369856,0.9179857939956895,D6,200-499,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
231962,Krazy Wordz,2016.0,754,931.0,3448.0,1.16,Party Game; Word Game,7.547237431486118,0.04348546852709977,0.04343047503442286,22.168767458529818,7.4620059131730025,7.462113700418649,7.503751962959019,7.4620059131730025,7.462113700418649,6.583218191883626,0.964019239602492,0.7896014995702005,D8,500-999,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
373105,Legendary Encounters: The Matrix,2023.0,245,508.0,3452.0,2.85,Card Game; Fighting; Movies / TV / Radio theme; Science Fiction,8.416420322121468,0.0762863409192595,0.0759905992963024,12.624388750218612,8.266899093919719,8.267478747500714,8.340133981202209,8.266899093919719,8.267478747500714,7.453351898025026,0.9630684240964413,0.8790901484538534,D5,200-499,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5772,What's It to Ya?,2003.0,268,284.0,9174.0,1.1951,Party Game,6.944323166906602,0.07293944082987674,0.07268081260987995,13.200815839152932,6.801361862880044,6.801868774191237,6.871383726076726,6.801361862880044,6.801868774191237,5.981463041100607,0.962860125805995,0.7060527214128802,D5,200-499,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
257145,Teenage Mutant Ninja Turtles Adventures: City Fall,2020.0,221,270.0,5634.0,3.1429,Animals; Comic Book / Strip; Miniatures; Movies / TV / Radio theme,8.31829662331979,0.08032184760121595,0.07997686327096923,11.982984235684219,8.160865802021407,8.16154197130869,8.237974775718575,8.160865802021407,8.16154197130869,7.3558011897333895,0.9624954335864011,0.8284454617323096,D5,200-499,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
903,Hamster Roll,2000.0,2482,2736.0,2153.0,1.0719,Action / Dexterity,7.307575466780488,0.023967842272475788,0.023958622091515353,40.11188278896946,7.260598495926436,7.260616567481118,7.283607624508012,7.260598495926436,7.260616567481118,6.346180186842432,0.9613952799380563,0.7213433518532835,D9,1k-2.5k,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0
