game_id,title,primary_type,variation,prop_adj,delta,ess,max_w,sensitivity
26,Age of Renaissance,Economic,stabilized,7.50378721163183,0.0165206527865704,1895.5015137957016,,stable_under_exposure_adjustment
26,Age of Renaissance,Economic,truncated_cap20,7.503787211631831,0.0165206527865713,1895.5015137957007,20.0,stable_under_exposure_adjustment
27,Supremacy: The Game of the Superpowers,Wargame,raw_ipw,6.011951011378496,0.1711569758019511,440.0791237460938,40.99897023503101,moderately_sensitive
27,Supremacy: The Game of the Superpowers,Wargame,stabilized,6.011951011378497,0.171156975801952,440.0791237460938,,moderately_sensitive
27,Supremacy: The Game of the Superpowers,Wargame,truncated_cap20,5.995750774686958,0.1549567391104132,495.4347627488767,20.0,moderately_sensitive
28,Illuminati,Other,raw_ipw,6.708389674132359,0.0599692153780537,4079.498041887422,7.247812948524706,stable_under_exposure_adjustment
28,Illuminati,Other,stabilized,6.708389674132359,0.0599692153780537,4079.498041887422,,stable_under_exposure_adjustment
28,Illuminati,Other,truncated_cap20,6.708389674132359,0.0599692153780537,4079.498041887422,20.0,stable_under_exposure_adjustment
30,Dark Tower,Other,raw_ipw,7.030460962173455,0.1512516280696694,917.7720709086528,8.454702319073935,stable_under_exposure_adjustment
30,Dark Tower,Other,stabilized,7.030460962173456,0.1512516280696703,917.7720709086528,,stable_under_exposure_adjustment
30,Dark Tower,Other,truncated_cap20,7.030460962173455,0.1512516280696694,917.7720709086528,20.0,stable_under_exposure_adjustment
31,Dark World,Other,raw_ipw,5.3405855981260215,-0.0566236963160378,589.3234476449655,7.602843318218462,stable_under_exposure_adjustment
31,Dark World,Other,stabilized,5.3405855981260215,-0.0566236963160378,589.3234476449657,,stable_under_exposure_adjustment
31,Dark World,Other,truncated_cap20,5.3405855981260215,-0.0566236963160378,589.3234476449655,20.0,stable_under_exposure_adjustment
32,Buffalo Chess,Other,raw_ipw,6.324850214505396,-0.0059682420675262,309.71606133605565,8.227083088075048,stable_under_exposure_adjustment
32,Buffalo Chess,Other,stabilized,6.324850214505396,-0.0059682420675262,309.71606133605565,,stable_under_exposure_adjustment
32,Buffalo Chess,Other,truncated_cap20,6.324850214505396,-0.0059682420675262,309.71606133605565,20.0,stable_under_exposure_adjustment
34,Arkham Horror,Coop,raw_ipw,6.885505568802309,0.0598330438700696,353.9640053744573,8.847379547054853,stable_under_exposure_adjustment
34,Arkham Horror,Coop,stabilized,6.8855055688023095,0.0598330438700704,353.9640053744573,,stable_under_exposure_adjustment
34,Arkham Horror,Coop,truncated_cap20,6.885505568802309,0.0598330438700696,353.9640053744573,20.0,stable_under_exposure_adjustment
36,Federation & Empire,Wargame,raw_ipw,6.652346594296736,0.0404182307880027,238.1832088661564,11.467711105949146,stable_under_exposure_adjustment
36,Federation & Empire,Wargame,stabilized,6.652346594296737,0.0404182307880036,238.1832088661564,,stable_under_exposure_adjustment
36,Federation & Empire,Wargame,truncated_cap20,6.652346594296736,0.0404182307880027,238.1832088661564,20.0,stable_under_exposure_adjustment
37,Dragon Masters,Wargame,raw_ipw,5.732502949204391,-0.0211420437836267,29.493324314655148,59.57238244982603,insufficient_overlap
37,Dragon Masters,Wargame,stabilized,5.732502949204391,-0.0211420437836267,29.49332431465515,,insufficient_overlap
37,Dragon Masters,Wargame,truncated_cap20,5.712579328996541,-0.0410656639914766,50.474782256547854,20.0,insufficient_overlap
38,Runes,Other,raw_ipw,6.4172904229722185,-0.0862085459608934,89.63354250835506,4.546479665183256,insufficient_overlap
38,Runes,Other,stabilized,6.417290422972219,-0.0862085459608925,89.63354250835506,,insufficient_overlap
38,Runes,Other,truncated_cap20,6.4172904229722185,-0.0862085459608934,89.63354250835506,20.0,insufficient_overlap
39,Darkover,Other,raw_ipw,5.6629811959541545,-0.1289893417543943,99.64720854985818,3.7866695470468,insufficient_overlap
39,Darkover,Other,stabilized,5.662981195954154,-0.1289893417543952,99.64720854985822,,insufficient_overlap
39,Darkover,Other,truncated_cap20,5.6629811959541545,-0.1289893417543943,99.64720854985818,20.0,insufficient_overlap
40,Borderlands,Other,raw_ipw,6.966126734962501,-0.0710013437061807,228.30299993157533,4.811735466590699,stable_under_exposure_adjustment
40,Borderlands,Other,stabilized,6.9661267349625,-0.0710013437061816,228.30299993157533,,stable_under_exposure_adjustment
40,Borderlands,Other,truncated_cap20,6.966126734962501,-0.0710013437061807,228.30299993157533,20.0,stable_under_exposure_adjustment
41,Can't Stop,Other,raw_ipw,7.245640776115387,-0.0420666087712851,15098.168041644292,12.401045281679911,stable_under_exposure_adjustment
41,Can't Stop,Other,stabilized,7.245640776115388,-0.0420666087712842,15098.168041644294,,stable_under_exposure_adjustment
41,Can't Stop,Other,truncated_cap20,7.245640776115387,-0.0420666087712851,15098.168041644292,20.0,stable_under_exposure_adjustment
42,Tigris & Euphrates,Other,raw_ipw,8.033124273371646,-0.0112487950832527,25194.177755364766,5.873728224714524,stable_under_exposure_adjustment
42,Tigris & Euphrates,Other,stabilized,8.033124273371646,-0.0112487950832527,25194.177755364763,,stable_under_exposure_adjustment
42,Tigris & Euphrates,Other,truncated_cap20,8.033124273371646,-0.0112487950832527,25194.177755364766,20.0,stable_under_exposure_adjustment
43,Airlines,Economic,raw_ipw,7.0320479074897335,-0.0384163857948589,329.00035317578653,5.639119794518311,stable_under_exposure_adjustment
43,Airlines,Economic,stabilized,7.032047907489734,-0.038416385794858,329.0003531757864,,stable_under_exposure_adjustment
43,Airlines,Economic,truncated_cap20,7.0320479074897335,-0.0384163857948589,329.00035317578653,20.0,stable_under_exposure_adjustment
44,David & Goliath,Other,raw_ipw,6.883587638380351,-0.0274934688718371,1496.155194672515,6.847970708818314,stable_under_exposure_adjustment
44,David & Goliath,Other,stabilized,6.883587638380349,-0.0274934688718389,1496.1551946725156,,stable_under_exposure_adjustment
44,David & Goliath,Other,truncated_cap20,6.883587638380351,-0.0274934688718371,1496.155194672515,20.0,stable_under_exposure_adjustment
46,Medici,Other,raw_ipw,7.605486734158397,-0.0335066535306838,7168.756022318024,8.263405469396549,stable_under_exposure_adjustment
46,Medici,Other,stabilized,7.605486734158396,-0.0335066535306847,7168.756022318025,,stable_under_exposure_adjustment
46,Medici,Other,truncated_cap20,7.605486734158397,-0.0335066535306838,7168.756022318024,20.0,stable_under_exposure_adjustment
116,Guillotine,Other,raw_ipw,6.743602338724907,0.0141702026132719,14832.541190317568,15.125862925258254,stable_under_exposure_adjustment
116,Guillotine,Other,stabilized,6.743602338724908,0.0141702026132728,14832.541190317566,,stable_under_exposure_adjustment
116,Guillotine,Other,truncated_cap20,6.743602338724907,0.0141702026132719,14832.541190317568,20.0,stable_under_exposure_adjustment
48,Krieg und Frieden,Other,raw_ipw,6.433351332593404,-0.0115465193812607,659.4310807456466,5.306301527793034,stable_under_exposure_adjustment
48,Krieg und Frieden,Other,stabilized,6.433351332593404,-0.0115465193812598,659.4310807456468,,stable_under_exposure_adjustment
