game_id,title,year,n_obs,users_rated,weight,weight_missing,raw_mean,adj_mean,se_adj,expected_quality,underratedness,underratedness_cv,lower_bound_resid,lower_bound_adj,model_spec,volume_band,volume_band_6,year_band,volume_decile,is_reimplementation,bayes_rating,rank_current,rank_underratedness
62814,Tumblin-Dice Medium,2008.0,215,233.0,1.0,0.0,7.27392711627907,7.61403753309305,0.08139191484034264,6.075344315730943,1.5386932173621073,1.5464977137754943,1.3791650642750357,7.4545093800059785,Q3b,200-499,200-499,2000s,D4,False,5.66323,7196.0,25
2981,Breaking Away,1991.0,460,472.0,2.2712,0.0,7.3081355,7.882878139721112,0.055644414878454895,6.3577770838764245,1.5251010558446874,1.540109468522858,1.4160380026829158,7.77381508655934,Q3b,200-499,200-499,1990s,D6,False,5.80255,4795.0,26
161880,The Quiet Year,2013.0,406,501.0,1.3846,0.0,7.565788177339901,7.928581363307283,0.05922941989022403,6.404234401014966,1.5243469622923174,1.515317784332841,1.4082572993074782,7.812491700322444,Q3b,200-499,200-499,2010s,D6,False,5.839,4429.0,27
207951,Tintas,2016.0,312,363.0,1.4167,0.0,7.604102564102566,8.107522688894388,0.06756522056350776,6.583715365538463,1.5238073233559248,1.5287535044768727,1.3913794910514496,7.975094856589913,Q3b,200-499,200-499,2010s,D5,False,5.77845,5082.0,28
1757,Yacht Race,1960.0,120,131.0,2.0,0.0,7.006666666666666,7.314869180309838,0.10894564460072821,5.791858119819755,1.5230110604900826,1.4878510830015053,1.3094775970726553,7.101335716892411,Q3b,100-199,100-199,1960s,D1,False,5.57434,11089.0,29
220975,History Maker Golf,2017.0,130,179.0,2.3,0.0,8.374615384615385,8.411238474481728,0.10467158961011862,6.888621932717619,1.5226165417641084,1.4960606270570995,1.317460226128276,8.206082158845895,Q3b,100-199,100-199,2010s,D2,False,5.66784,7092.0,30
58782,Bluffer,1993.0,145,168.0,1.1667,0.0,7.060758620689655,7.211881191933844,0.09910977603390549,5.689560035292018,1.5223211566418255,1.5396584459251423,1.3280659956153709,7.0176260309073895,Q3b,100-199,100-199,1990s,D2,False,5.59387,9852.0,31
153016,Telestrations: 12 Player Party Pack,2011.0,3140,3505.0,1.0577,0.0,7.72212268152866,7.962493213410589,0.02129784547950444,6.441610313336028,1.520882900074561,1.5455972709849188,1.4791391229347322,7.920749436270761,Q3b,2.5k-5k,2k-5k,2010s,D9,False,6.80178,757.0,32
261588,Ascension: Year Five Collector's Edition,2019.0,107,117.0,2.0,0.0,8.301869158878505,8.341164274398478,0.115374174587065,6.8221246049751265,1.5190396694233517,1.5250531843570334,1.2929062872327042,8.11503089220783,Q3b,100-199,100-199,2010s,D1,False,5.61617,,33
241203,Ascension: Year Four Collector's Edition,2017.0,122,131.0,2.0,0.0,8.062841557377048,8.176847733597981,0.10804895738021865,6.65987794803099,1.5169697855669906,1.521983399335217,1.305193829101762,7.965071777132753,Q3b,100-199,100-199,2010s,D1,False,5.62202,,34
159333,Fendo,2014.0,121,154.0,2.0,0.0,7.837438016528925,8.166506203111037,0.10849452198138136,6.65440785086075,1.5120983522502875,1.521199388450352,1.29944908916678,7.95385694002753,Q3b,100-199,100-199,2010s,D1,False,5.63992,7872.0,35
2794,Spinball,2001.0,171,183.0,1.1875,0.0,6.954525438596492,7.511348565739415,0.09126461806474613,6.004235851394245,1.50711271434517,1.5132106699198795,1.3282340629382676,7.3324699143325125,Q3b,100-199,100-199,2000s,D3,False,5.60272,9362.0,36
56995,The Twelve Doctors: Doctor Who Card Game,2009.0,139,152.0,2.375,0.0,7.548201438848921,7.732817228271512,0.10122623772308073,6.237201643406042,1.4956155848654697,1.4944507855723304,1.2972121589282315,7.5344138023342735,Q3b,100-199,100-199,2000s,D2,False,5.61285,8864.0,37
275626,Dominion: Einsteiger-Bigbox,2019.0,114,150.0,2.0,0.0,8.153947368421052,8.35750685195751,0.11177587291431,6.864179715790799,1.4933271361667106,1.5094906217077275,1.274246425254663,8.138426141045462,Q3b,100-199,100-199,2010s,D1,False,5.63985,,38
68199,Catchup,2010.0,135,154.0,2.1,0.0,7.50925925925926,8.018880163988579,0.10271493877055267,6.531587090957354,1.4872930730312248,1.478645247030224,1.2859717930409416,7.817558883998295,Q3b,100-199,100-199,2010s,D2,False,5.6189,8611.0,39
13089,Wie ich die Welt sehe...,2004.0,366,380.0,1.1304,0.0,6.79275956284153,7.227553783333522,0.062382094629127645,5.741243155260696,1.4863106280728262,1.5050263994324782,1.364041722599736,7.105284877860432,Q3b,200-499,200-499,2000s,D6,False,5.68115,6787.0,40
172844,Charms,2014.0,254,347.0,2.0909,0.0,7.361023622047243,8.135458120859894,0.07488306940719801,6.650281618866398,1.4851765019934966,1.4715719829318683,1.3384056859553886,7.988687304821786,Q3b,200-499,200-499,2010s,D4,False,5.72959,5832.0,41
